Tab,  Sheshí 
Vouchsafe , Yeyinya 
Vow , Zhiba 
Vow  ,Ebazhi  
Vowel  ,Wasali 
Voyage , Lengi
 Voyager  ,Nda lengi; Nna lengi
 Vulcanise  ,Dapatina 
Vulcanser,  Patinadaci 
Vulgar , Daci 
Vulnerable,  Lutin; Lu etin 
Vulture  ,Gulu 
Vulva  ,Esun  
 
  
  
W  Wad  ,Tíni; Etíni 
Wade, Va; Vanuwan 
Wafer , Masa Wag  Ban
 Wage , Wotun; Ewo etun
 Wage war,  Go kun 
Wagon  ,Lakia  
Wagtail , Bàwàṇbàwàṇgi
 Waif , Kúyí 
Wail  ,Tilali 
Wail , Lali 
Wailing  ,Laliti 
Waist , Eshíṇ  
Waistband ,Edza 
Waist-bead  ,Fukó 
Waistcloth,  Dzama 
Wait (for) , Ka
 Wait (stop)  ,Gikinni; Kpe Gikinni 
 Waiter  ,Kinnigici 
Waiting  ,Kinnigi 
Waiting area  ,Èkagi 
Wake (from sleep)  , Sanle  
Wakeful  , Zhile
 Walk  ,Dazàṇ  
Walk  ,Ezàṇ 
Walk in (into),  Dadan
 Walking stick , Bushi 
Wall (building),  Shempa
 Wall (fence) , Kárà
 Wall (of blocks)  ,Gbàla; Gwala 
Wall (standing structure)  ,Ebà
 Wallet,  Akpama 
Wallop,  Gíbi 
Walloping , Ebigí 
Wallow , Piṇguṇ; Piṇ eguṇ 
Wallpaper , Waraka shempa 
Walnut  ,Suṇkení; Esuṇ kení
 Wander , Za; Dazàṇ za
  Wanderer , Zizaci 
Wandering , Ziza 
Wandering Jew,  Go fin o na o kin 
Want  ,Wa 
 Want  ,Wuwa 
Wanton  ,Wawuru
 Wapiti,  Gùṇbǒkuṇ; Egùṇ bǒkuṇ 
War , Ekuṇ; Ekuṇgùṇ 
War , Gùṇkuṇ  
Ward, Swàfu; Èswà efu 
Warden  ,Yétswági 
Warder,  Yétswáci 
Wardrobe,  Kàràpabà 
Warehouse , Gàṇmǎṇ
 Warhead , Ekuṇtígi 
Warlord  ,Tsócikuṇ 
Warm, Dzwàṇdzwàṇyǐ 
 Warm,  Yénạ  
Warm heartedness,  Etíṃáṇánci
 Warmth  ,Yepe 
Warn , Jin gangba 
Warning  ,Gangba 
 Warp  ,Tswanye 
Warped  ,Tswanye 
Warplane,  Eyakun 
Warrant,  Gunyiko 
Warrant,  Yikogun 
Warrior , Ekungunci  
Warthog , Gbakun 
Wartime  ,Ekakun; Eka ekun 
Wary , Fanra 
Wash,  Na 
  
Wash (cloth),  Fo 
 Washbasin , Kashi; Kashigi 
Washed , Ninaci  
Washer , Foci 
Washing machine,  Kpantugi edefo 
Washman , Edefoci 
Washroom , Kpókpóri 
Wasp , Mìzuṇ 
Wasp (mud-wasp) , lànkpàvunvun 
Waste (refuse) , Dànkurú 
Waste,  Zoya 
Wasteland  ,Gbandaba 
Wasting  ,Zuzoya
 Watch,  Giyedan  
Watch (clock),  Esa 
Watchman , Matswa 
Watch over,  Lena
 Water,  Nuwạṇ 
Waterbuck  ,Baraka
 Waterfalls , Tsùrù 
Water game , Èlò 
Watering-place , Kûn 
Waterleaf , Enigi 
Waterlogged,  Goya 
Water melon , Vonlwàlwà 
Waterproof,  Nuwankangi 
Watershed  ,Nuwanbuba 
Waterskin,  Sanrika 
Water spirit,  Nuwanda  
Waterway , Kpandara 
Waterweed , Esạgi lǔkukù
 Watery , Tsoro 
Watery (thin) , Tsaye  
Watt , Woti 
Wave , Bagwa 
Wave (water) , Gbàngbǎ; Gbàngbǎnuwạṇ 
 Wavelength , Kperegbanuwan 
Waver,  Jin konkonyi 
Wax  ,Parafu; Para efu
 Waxbill , Sǔsǔgi 
Waxbill (blue-breasted) , Sákòbayégi 
Way,  Eko; Yeko  
 Wayfarer  ,Ekodaci 
Waylay  ,Soko; So eko
 Wayward  ,Tsaka 
Wayward person , Ezatsaka 
We ,Yi 
Weak,  làbò
 Weakness,  Bòlà 
Weakling  ,Gbogun 
Wealthy  ,Kutá  
Wean  ,Te 
Wean (from breastfeeding) , Kpemibe o
 Weapon  ,Nyako; Enya eko 
Wear , Fạn
 Wear (put on cap or hat) , Kpe 
Wear , Èfạn
 Weariness  ,Tolo
 Wear out , Dábù  
Weary,   Loto  
Weather , Fereka 
Weave  ,Lu  
Weaver , Luci  
Weaverbird  ,Ègwa; Ègwangi 
Web , Edzuedzu 
Website  ,Danna edzuedzu 
Wed  ,Gò yàwǒ 
Wedding , Mulà  
  
Wedding day , Fo mulà
 Wednesday,  Fonni; Efo nici 
 Wedge,  Dugbagi 
Weed,  Faya 
Weed , Egiagi 
Weeding  ,Gongi 
Weeding (last one) , Kátsá
 Week , Fotwaba  
Weekday,  Fofotwaba;Efo fotwaba 
Weekend , Fotwabazo
 Weekly ,Fotwabatwaba 
Weep , Gbegi 
Weevil,  Efú 
Weevil (small),  Epí 
Weevil (big) , Gobi 
Weevil (of Kola nut) , Ègǐ 
Weevil (of yam) , Wòrìwòrì 
Weigh , Dạn tsùṇwàṇ 
Weight  ,Tsùṇwàṇ 
Weightless  ,Foko 
Weighty  ,Wǒshì  
Weir , Gaga 
Weird , Dakuda
 Welcome! , Ku be èbo e! 
Welcome!  ,Mambe! 
 Welcome , Gòbo; Gò èbo 
Weld  ,Givan
 Welder,  Vangi 
Welding , Evan
 Welfare  ,Zanfege 
Welfare state  ,Kinmishi zanfege 
Well,  Goga 
Well (healthy),  Woma  
Well-being  ,Fifege 
Well done , Ku be tun i  
Well-fed , Dondonyi 
Well off  ,Kuta
 Well-to-do , Atazari 
Went  Da West  ,Yizo; Eyizo  
West Africa  ,Afirika Yizo 
Western , Yizogi 
Westerner,  Yizoci 
Wet  , Da; Da nuwan  
Whack  ,Dandzu 
Whacking  ,Gagangugu 
Whale  ,Nyikankpo 
Whale  ,Gbe nyikankpo 
Whaler  ,Nyikankpoci 
Whaling,  Nyikankpogbe 
Whar,f  Kpata  
What, Ki; Ke 
 What , Ǎ 
What , Ki o; Ki yi o; ki 'nya  
What of , Súkúṇun 
Wheat , Yilagi  
Wheel,  Karangba 
Wheelchair  ,Esakozheke
 Wheeze  ,Yife 
When , Kami na 
When? ,Kankici o? 
Whence ,Daga baga o 
 Whenever , Kami ndondo…na 
 Where , Babo  
Whereabouts  ,Badanci 
Wherefore ,Ebogabo; Ebokiyibo; Ebokinyabo 
 Wherewithal , Yewo
 Whet , Le 
Whether , Tòba; Bandò
 Whether , Kici  
  
Whetstone  ,Takunfinle 
Which? , Kici  
Which ,Na 
While, Kpâ
 Whim  ,Bamba
 Whimper  ,Ti winwinyi
 Whimpering , winwinyiti 
Whimsical , Gabamba; Ga bamba 
Whine , Fiakun
 Whining  ,Egífetí 
Whining (complaining)  ,Bosan; Ebosan
 Whip,  Kpakòso  
Whip  ,Dzan kpakòso  
Whip grass , Sangi yekoti 
Whirl  ,Kpoyi  
Whirlpool , Ezhin  
Whirlwind  ,Dundufe 
 Whisk  ,Nancegi
 Whisk,  Mi 
Whiskers , Gemu  
Whiskey , Bàràsa
 Whisper,  Shiyiko 
Whisper , Yikoshi 
Whistle  ,Bè yíkò 
 Whistle  ,Yíkòbè
 Whistle  ,Eyigi  
Whistle (small one)  ,Fèrè
 White , Bǒkùṇ  
White man (Old Nupe),  Zabokun  
White man (Middle Nupe)  ,Pabokun
  White man (Modern Nupe),  Nasara  
White meat , Nyavun 
Whiten  ,Vun
 Whitened , Vun bokun 
White poplar  ,Bokunfin; Bokunfini 
Whitethorn  ,Ekanci bokun 
White woman (address for) , Màmǐ
 Whitlow,  Egwasogi 
Whiz,  Jin vianyi 
Whiz kid , Egi vianyi 
Whizzing  ,Vianyi 
Who ,Zhi; Zhe; Zi ; Ze 
 Whoever, Zandoroga 
Whole , Dundu
  Wholesale , Parongi 
Wholesaler  Parongici 
Wholly , Fianfiannyi 
Whom , Zana 
Whopping  ,Gangiri 
Whore  ,Shembelegi
 Why, Kila o
 Why , Ebokibo; Ebokinyabo  
Why  ,Aba 
Whydah  ,Kpantorogisòkó
 Wick  ,Dìndzǎrá 
Wicked  , Wuye
 Wicked person , Eyewuci  
Wide,  Gope  
Wide (leaf)  ,Bǒbǒgi 
Wide (cloth),  Bùgà 
Widespread ,Làgbà 
Widow , Ekpó 
Widower  ,Èkpáṇ 
Width,  Epè; Epègò  
Wield  ,Kekala; Ke kala 
Wielding  ,Kalake 
  
Wife  ,Nyimi 
Wig  ,Tinyiko 
Wild  ,Ṇyàkáṇgi 
Wild animal  ,Kúngi; Ekúngi
 Wildcat , Dangi lati 
Wilderness , Cikan 
 Wildfire,  Nacikan; Ena cikan
 Wildlife , Ena lati 
Wild pig , Gbakun 
Wile  ,Wurumi 
Will ,m …á; gá
 Will  ,Gà 
Will, Gà; ’à 
Will  ,Gbàṇwù; Egbàṇ wùshì 
Willful  Sun, nyangban
 Willfulness  ,Nyạgbàṇsun 
Willing  ,Wa nyạgbàṇ 
Willing  ,Nyạgbàṇwaci 
Willpower , Kagbo nyạgbàṇwa 
Wilty  ,Cemi Win  Gi
 Winch , La dakadaka
 Wind  ,Kan  
Wind  ,Efèkùṇ; Fèkùṇ
  Wind (high) , Kòcegìdì 
Window,  Dzufa  
Wind up  ,La da kpan
 Winding up , Lila da kpan 
Wine , Duma 
Wing , Gwapà  
Wink  ,Baye
  Winning , Etigi 
Winner  ,Tigici 
Winnow  ,Yitalà 
Winnower  ,Zhintalà  
Winter , Làwo 
Winter cherry  ,Alasangi 
Wipe,  Wun  
Wire,  Èlègi
 Wireless,   Ralegi 
Wiry,  Nyídìṇ 
Wiry (emaciated)  ,Kpaganyi 
Wisdom , Egbáṇ; Lùkóntágbáṇ 
Wise , Gbáṇ 
Wise , De Egbáṇ
 Wise person , Gbáṇgbáṇci 
Wish  De, biki
 Wish , Biki
 Wit , Gbankpe; Egban ekpe 
Witch  ,Gaci  
Witch (head witch) , Lelú 
Witchcraft,  Ega
 Witchcraft practice , Nyaga; Nya ega 
Witchdoctor , Bǒci 
Witch hunt , Gacigbe 
Witchweed  Edo With , Be; Be    nyi  
Withdraw  ,Dingo 
Wither , Po 
Withered , Shà 
Within, Ninbe
 Without, Bambe   nyi  
Witless , Gbonyi 
Witness  ,Eri; Erijinci  
Witness  ,Jin eri 
 Wizard,  Esheci 
Wizardry,  Eshe 
Wobble  ,Jin nyaganyaganyi 
Woe  ,Càkú 
Wolf , Shigonta; Eshi gonta
 Woman  ,Nyizagi  
  
Womb,  Kafa 
Wonder , Wówó  
Wonder , Wó  
Wood (plank)  ,Kpákó 
Wood-carver , Kpákódinci 
Wood-carving  ,Cigbandin
 Woodland  ,Magan 
Woodpecker , Egbálúgi
 Woods  ,Dzaka
 Woodworker , Egbácigbàṇ  
Woodworm , Shiaria 
Woof (cloth),  Èzhe 
Wool,  Lulugba  
Woolen  ,Denyin 
Word  ,Egan  
Work  ,Etuṇ; Etuṇlo  
Work , Lotuṇ
 Worker , Etuṇloci 
Workhand  ,Faci  
Workmanship , Tunlomi; Etunlo mi 
Workshop  ,Edagitun 
Workout  ,Kilisa 
Workplace  ,Tunta; Etunta 
World  ,Yizhè 
World Bank  ,Emiwo Yizhe 
World War , Ekun Yizhe 
Worm,  Ègo; Ègo ègo 
 Worn-out , Gbigì 
Worry , Jin damuwa
 Worry,  Damuwa 
Worse  ,Eyebi
 Worsen  ,Biye 
Worship  ,Enyạwò
 Worship  ,Wò; Wònyạ 
Worship (follow) , Gba 
Worst , Bita
 Worth , Kuṇ 
Worth  ,Kuṇkuṇké 
Worthy , Kuṇké 
Would , Gà 
Would ,; ’à
 Wound  ,Etìṇ 
 Wound , Gitìn 
Wrangle,  Gimi 
Wrap  , Wrap  Zugu 
Wrap (shawl),  Edeko 
Wrapper , Dzapu 
Wrap up (finish)  ,Wola 
Wrath , Tsukpa 
Wreath,  Korokangi 
Wreathe , Kankoro
 Wreck , Vunye
 Wreckage , Yevungi 
Wrestle,  Tòbàjiǎ 
Wrestle , Bàjiǎ 
Wretched , Sakpa
 Wriggle  ,Dingban 
Wring  ,Kan 
Wrinkle ,Kari 
Wrist , Gwankoro; Egwa koro 
Wristlet  ,Wanke
 Wristband , Gwakagi 
Write  ,Ká ; Kányạ  
Writer  ,Nyạkáci 
Writing , Nyạká 
Wrong,  Èlu 
Wrong  , Wùlu 
Wrongdoing , Wulujin 
Wrought iron  ,Nyankpa zhiko   
  
X X-axis  ,Sankarago-esi 
X-chromosome,  Nakacingi-esi 
X-coordinate  ,Gantushe-esi 
Xenophobia,  Edozhikati
 X-ray , Nayere-esi   
  
Yacht , Yafanci Yagba (Yoruba subtribe)  Yàgbà
 Yahweh  ,Yawe; Yawi 
Yam,  Eci  
Yam (cooked) , Èrǔ 
Yam (wild one) , Èdu 
Yam (aerial)  ,Kandu 
Yam (a cultivar) , Èfiági
 Yam (a cultivar),  Jigada 
Yam (a cultivar) , Kòkókùmạ 
Yam flour , Rubwa; Lubwa 
Yam mound  ,Ciwo; Eci ewo 
Yam porridge , Pate; Pete 
Yam pounded , Cinginni  
Yam powdered  ,Rùbwǎ 
Yam (red)  ,Eci dzuru 
Yam (a specie)  ,Banfiagi 
Yam ridge,  Rutukagba 
Yam (three-leaved) , Suru
 Yam (wild)  ,Edu 
Yank,  Kpe
 Yankee  ,Yanki 
Yard , Zhèmpa  
Yard (unit) , Kpakogi; Yadi 
Yarn  ,Takpola
 Yawn  ,Yáyǎ  
Yawn  ,Èyǎ 
Yawning (deep) , Shikodo 
Year , Eya 
 Yearn , Ròbo 
Yearning , Borò 
Yeast,  Esa
 Yell  ,Shikowu 
Yellow,  Doyá 
Yellow  ,Wậṇjiṇ  
Yellow fever,  Shawura
 Yellow jacket, Lankpavunvun 
Yelp , Kawu 
Yep  ,Hin
 Yes! E! Yes (casual) ,Nhm 
Yesterday , Tsuwo 
Yet , Lá Yeti  Yeti 
Yiddish,  Yidishi
 Yield , Bele 
Yield (harvest),  Yìsó  
Yoga  ,Yoga 
Yoghurt    Yoke  ,Gbagbà 
Yolk,  Zhiran; Ezhi yaran 
Yonder , Tátonú  
Yore , Ele 
Yoruba  ,Èyàgi 
Yoruba (offensive name for Yoruba)  ,Agiaria 
Yorubaland,  Kîṇyà
 You , We; Wo; o 
Young  ,Fugi; Efugi 
Younger(person) , Gwazunma 
Young man,  Gbarufu  
Yourself  ,Wotsó; Otsó 
Youth,  Biko
 Yummy  , Dzóndzónyǐ 
 
 
 
 
 
 
 
  
 
  
  
Zakat , Zanka 
Zap  ,Zanyi 
Zaria  ,Zariya 
Zeal , Eshibi
 Zealot , Bishigi 
Zealous , Bishi 
Zebra  ,Baraka
 Zebra crossing  ,Zhizhetu baraka
 Zed,  Zedi 
Zenith , Legengbeti
 Zeppelin , Zepelinu 
Zero , Vuṇlági 
Zero hour,  Kákuṇ vuṇlági 
Zigzag,  Lorozhinro 
Zillion , Gbówúrú 
Zillionaire  ,Zàwógbówúrú 
Zinc  ,Ecín
 Zion  ,Zayon 
Zionism  ,Zayonjin
 Zionist , Zayonci 
Zip , Zipu 
Zither , Bisan 
Zodiac  ,Nagisama; Enagi sama
 Zombie  ,Nyǎmbî 
Zone  ,Zhifu 
Zoo  ,Enagiba 
Zoom  ,Zungan 
Zorilla  ,Ṇyàkáṇ bìsạngi 
Zulu , Zulu  
 
  

