Nab,  Ga 
 Private  ,Kóbagi 
Private part , Toba 
Privation  ,Egwaba 
Privatize , Jin ledan 
Privet  ,Dàṇkùṇ cigbàngi 
Probably  ,A kpekin 
Probable , Kpekin 
Probe , Dibati 
Proboscis,  Ègwá 
Proceed  ,Yàlo 
Proceedings  ,Ganya
 Process,  Ketun Ke etun 
Process  ,Tunke Etunke 
Proclaim  ,Yìdaṇ 
Proclamation , Daṇyì 
Procrastinate,  Koyena
 Procrastination,  Yèṇàko
 Proconsul  ,Ajale 
Prod  Da,n kangi 
Prodding , Kangidan  
Produce  ,Matun Ma etun
 Product ,Tunma 
Profane  Keto, Ke tokó 
Profanity  ,Toke Tokóke 
Professional  , Profile  Furusàngi 
Profile , Sànfuru Sàn furu 
Profit,  Èlè 
Profit , Gilè 
Profligate , Nusha 
Profound , Lolo P
Rofundity,  Lolo 
Profuse,  Dangusalia 
Profusely,  Gbialianyi 
Progenitor , Kaṃá 
Progress  ,Eyelo
 Proliferate  ,Kpangbara 
Prolong  ,Gban 
Prominence , Kúkúngi
 Prominent ,Jin kúkún
 Prominent , Kúkún 
Promise , Zhìgbê
 Promise , Gbêzhì 
Prompt , Konyi 
Promptly,  Konkonyi 
Promulgate , Kpégàṇmi
 Promulgation,  Gàṇmikpé 
Prone (tendency),  Bambó 
Prone (spreeagle),  Kpe para 
Prong  ,Laci 
Proof  ,Wujia Wuja
 Prop , Dogba 
Propaganda , Sákpálákàn 
Propagate , Sákpálá 
Property , Dandan 
Prophecy  ,Gigàṇshishì 
Prophesy , Gàṇshishì
 Prophesy , Ganshishi 
Prophet , Anabi 
Proprietor  ,Botso 
Proscribe , Kanyi Ka nyi 
Prose , Kaga Ka ga
 Prosper  ,Jin kpara
 Prosperity , Kpára 
Prosperous , Jin kpára 
Prostrate,  Dákpià
 Prostrate (thank),  Dájiṇ 
Prostitute , Bamvogi
 Protease,  Dzòngikòci
 Protect , Tswa
 Protection , Tsutswa 
Protection (divine)  ,Kiwo 
Protein,  Dzòngi 
Protest  ,Gimikpaka
 Protest , Mikpakagi
 Protracted  ,Kogba 
Protuberance,  Rondogi 
Protuberant ,Rondonyi 
Protuberantly  ,Rondorondonyi
 Provision , Mugungi
 Proud   ,Wogi 
Proverb  ,Gàṇmǎṇgáṇ
 Provocation  ,Sunkana
 Provoke , Jin sunkana 
Prudent  ,Keso 
Pruner , Ele 
Pruning hook  ,Ègbàṇ
 Pruning stick , Elè 
Pry  ,Tudan 
Prying  ,Edantu 
Psalm  ,Zàbura 
Pubertal,  Balaga 
Puberty , Baligi 
Puberty reach,  Jin baligi 
Pubes,  Yita 
Pubic region,  Banda 
Public  ,Yedanyi Eye danyi 
Publication  ,Yedanyishi
 Publicity,  Yedanyijin
 Publicly  ,Be eyedanyi 
Publish , Shiyedanyi
 Pudding  ,Dǔngǔ  
Puddle , Lebu 
Puce ,Wanye 
Pucker  ,Jin èwǔ 
Pucker,  Èwǔ 
Puckering,  Èwǔ 
Puff  Kefe
 Puff , Efeke 
Puffed  ,Pulia 
Puffy,  Fakun 
Puke , Jin kunmalo 
Pull , Din 
Pullet  ,Fugi Bishe fugi 
Pulley,  Egi sankara 
Pulped,  Boda 
Pulpy , Bodaboda 
Pulsate , Kundù kundù 
Pulse,  Kundù 
Pulverized,  Putu 
Pummel , Tunko 
Pump  ,Dìṇjè Èdìṇ èjè
 Pump , Jèdìṇ Jèdìṇgi 
Pumpkin , Èbě Èběshe
 Punch  ,Tunnashi 
Punch,  Nashi 
Punish,  Gun fani 
Punishment,  Fani 
Pupa , Konto 
Pupil , Katungi Karatungi
 Purblind  ,Jin taruba 
Purblindness  ,Taruba 
Pure , Gi 
Pure (clean)  ,Liye
 Pure (pristine)  ,Gbagbara 
Purebred  ,Zam
 Purify  ,Dangwa
 Purity,  Gigi 
Purpose,  Ebàfè Bàfè 
Purposely,  Fèbà 
Purse,  Akpama 
Purser  ,Kpamaci Akpamaci 
Purslane,  Fingi 
Pursue , Fan 
Push,  Dagwa 
Puss  ,Bigia Ebi egia 
Pussy , Musun 
Put,  Lan La… dan 
Put down,  La cici 
Put (in lots arrange) , Kpa 
Put on (wear) , Kun 
Put on (wear cap or hat),  Kpe 
Put on (trousers skirt shorts)  ,Dan 
Puzzle , Jin kpuru
 Puzzle , Kpurukpuru 
Pygmy  ,Takpagia 
Pyjamas,  Ewole
 Python  ,Wanko Ewanko 
 
 
 
 
 

