Quadruped , Gwadagi Nagwadagi Ena Egwadagi
 Sign  ,Daṇgwa 
Signal  ,Èzùn 
Signal , Ba lǐgi 
Signature , Gwadaṇ Egwadaṇ 
Significance,  Kikpo 
Significant,  Kpoki 
Silage,  Alikyangi 
Silence , Sanyinjin 
Silent ,  Sanyin
 Silent (place) , Jin shiru 
Silence (place),  Shiru 
Silk,  Ègè
 Silk cotton fruit  ,Lembúbú Lembúbúrú
 Silk-cotton tree  ,Kúci
Silkworm,  Kolokuku
 Silkworm moth , Gbonkuku 
Silly , Bije 
Silliness , Jijebi  
Silo,  Yisan 
Silt  ,Nyakan 
Silver , Azarufa 
Silver catfish  ,Bola 
Silversmith  ,Tswaci foforo 
Silverside , Egbági 
Simian,  Sunyi 
Similar , Gbedo 
Similarity , Dogbe 
Simple,  Dami Da emi 
Simpleton , Tatagi 
Simultaneous  ,Wànko 
Simultaneously ,Wànkonyi 
Sin , Labi 
Sin , Èbi 
 Sinai,  Sinạ 
Since  ,Tun Tun Kanga Daga kanga
 Since ,Dagana 
Sinew  ,Dìṇtagi 
Sinewy  ,Tadìṇ
 Sing , Malo
 Singer,  Maloci 
Single  ,Kete 
Single (unmarried) , Koyedzu 
Single parent  ,Nyamanci Koyedzu 
Sink , Kia Kia Nuwan
 Sinner , Lefijinci
 Sip  ,Towo 
Siphon,  Yi
 Sir , Zagwe 
Siren , Kule 
Sisal  ,Epako
 Sister , Mapî 
Sister (sibling) , Yegi nyizagi 
  
Sit , Fedun
 Sit down , Yashì 
Site,  Ḍàṇà
 Sitting , Edunfe 
Sitting room , Bòkùn 
Situate (locate),  Le 
Situation (location)  ,Ele 
Six , Gutswanyi 
Six hundred , Kpota 
Six thousand , Gbota
 Six pence,  Shishì 
Sizable,  Kpadza 
Size , Kímạ 
Size up  ,Payeku 
Sizzling  ,Susunyi 
Skein , Èkwági 
Skeleton,  Bango 
Sketch , Jin take 
Sketchy  ,Takegi 
Skewer  ,Tsukun soya 
Skewered meat  ,Soya Tsire 
Skill  ,Egbá 
Skilled  ,Gbáci Egbáci
 Skim,  Fan 
Skin , Epa 
 Skin,  Fè
 Skin headed  ,Etikpanna 
Skinhead , Etikpannagi
 Skinny,  Gáṇgúgǐ 
Skirt , Yari 
Skulk , Ṃàbàrà 
Skull  ,Tunko 
Skunk,  Bisagi Nyaka bisagi 
Sky , Èshè 
Slab , Gundin Egun din 
Slacken ,  Fià 
Slag , Tswambi
 Slander,  Kobo 
 Slant,  Zhèká 
Slap  ,Gbádzú 
Slap  ,Edzú 
Slat , Kpako 
Slate,  Èlǒ 
Slaughter , Zun
 Slave , Wuzhi
 Slavery  ,Dzannajin 
Slay  ,Kponu 
Slayer , Kponujinci 
Slaying , Kponu 
Sledge , Etsuko 
Sleek , Talo 
Sleep,  Lele 
Sleep,  Ele Elele 
Sleeping sickness , Kpatsungi 
Sleeve , Ewogwa
 Sleeveless  ,Marahanu 
Slender , Kpelegi 
Slice,  Fáṇ
 Slick  ,Nwanwanyi 
Slide  ,Taya Ta
 Slight  ,Gbaye 
Slight , Yegba 
Slight , Fiagi 
Slightly ,Fiaginyǐ 
Slim  ,Waragi Wuriagi 
Slime  ,Gbwarwagi 
Slimy  ,Gbwàrwà 
Sling  ,Gbạnjèrè 
Sling  ,Cé gbạnjèrè
 Slip  ,Ta Taya 
Slip (through hand)  ,Fan… gwa 
Slipper,  Papagi Eda papagi 
  
Slippery  , Ta 
Slipshod,  Mulamulanyi 
Sliver  ,Ekan 
Slog , Buta 
Slog , Jin buta
 Slope , Gbodo 
Sloppy  ,Petepetegi
 Slothful ,  Songia
 Slouch , Jin wawawanyi 
Slouch , Wawawanyi 
Slouch  ,Wawawanyigi
 Slough , Zhefa 
Slovenly,  Boye
 Slow  , Sò 
Slow , Tàci 
Sludge,  Boshin 
Sluggish,  Bìfo
 Slumber  ,Gùnle
 Slumber,  Elegùn Elegùn
 Slur  ,Kpakpe 
Slur  ,Kpikpakpe 
Slut (prostitute) , Nangba 
Sly,  De Kisa 
Slyness  ,Kisa 
Smack , Zhela 
Small , Gigi 
Small (roundish)  ,Cakurugi 
Small too , Gbàgbà 
Small intestine , Edzungi tetengi
 Smallpox  ,Tsakpanna
 Smarmy,  Manyi 
Smart,  Ya
 Smart,  Fanye 
Smash,  Ban
 Smear,  Ciṇ 
Smell , Etswan 
Smell , Mwatswan 
Smell to feel,  Wotswan 
Smelt  ,Dandu
 Smelter(furnace) , Èdù 
Smelter (worker)  , Edudanci
 Smidgen  ,Bege
 Smile , Yiman
 Smile , Yiyiman
 Smith , Tswaci 
Smithy , Dokodza 
Smog  ,Girigizi
 Smoke  ,Nạwú 
Smoke (cigarette) , Fíṇ nạwúngi 
Smoker , Nạwúngifíṇci 
Smolder , Nyàna 
Smooth , Bòlǒ 
Smother,  Shina
 Smudge ,Cankia
 Smudgy  ,Cankia
 Smut  ,Kuṇwàwà 
Smutty , Gbiangbannyi 
Snag  ,Jindzara 
Snail , Ekpa Egikpa 
Snail (edible one)  ,Kpankuru
 Snake,  Ewa 
Snake (on palm trees)  Jǎsò 
Snake (small one)  ,Fiṇdzùṇgi 
Snakebird  ,Wangi 
Snake charmer , Ewakuci 
Snap , Kpin
 Snare,  Èkò 
Snatch,  Ke Kegwo 
Sneak, Mada 
Sneeze,  Cincin 
Sneeze  ,Ecincin
 Sniff,  Kutswan 
  
Sniffle  ,Yecindan 
Snipe , Kpatalugi
 Snipefish , Tsadukpata 
Snivel (cry) , Cibi 
Snoop  ,Pinyeba 
Snooping  ,Eyepinba 
Snore , Gbàṇle Gbàṇlegbàṇ
 Snore  ,Elegban 
Snorer , Elegbanci 
Snorkel , Nuwanlo 
Snorkeler,  Nuwanloyi 
Snort , Yema
 Snout  ,Mushí 
Snow  ,Nyạfù Nyạkáfùci 
Snowman , Ndǎnyạfù
 Snub , Ceti 
Snuff , Shayi ruku Taba ruku 
Snuffbox tree  ,Manvovogi 
So , Afe 
So ,Ácìṇ
 So , Asha
 Soak , Da 
So-and-so  ,Zakanzan 
Soap, Ekò 
Soapbox  ,Kòto Kòtoko 
Soapsuds  ,Kòfugi 
Soaring , Gbabara 
Sob , Shigishi
 Social  ,Pazhika 
Socialize,  Pazhi 
Society , Zhipagi Ezhipagi
 Sock (for shoe) , Dàkùṇ
 Socket , Kere
 Sodden , Càkiàṇ 
Soddenly , Ciankianyi 
Sofa  ,Fada 
Soft  , Da 
Soft (too soft)  ,Bòdó Bòdóngi 
Softly-softly ,Kukukunyi 
Soggily, Loronyi
 Soggy , Loro 
Soil  ,Pùtù 
Soil (land) , Kpaki
 Soil , Nyika 
Soiled  ,Nyika
 Sol,  Eyi
 Solace , Nyạgbàṇjiṇ 
Solace,  Jin nyạgbàn
 Solar,  Yigi Eyigi 
Solder  ,Nazhì 
Solder,  Zhìna
 Soldier,  Ègùṇ 
Sole (foot),  Bìcí kimpà 
Sole(only)  ,Koto 
Solicit , Gǐyé 
Solid  ,Tsando 
Solidification  ,Tsandole 
Solidify  Le ,tsando
 Solitaire,  Nangba 
Solitary,  Kushé 
Solo  ,Lǔgbà 
Soloist (musician)  ,Duwalú
 Solve , Wáyé
 Solvent (financial)  ,Sạnwó 
Solvent (dissolving),  Le 
Somber  ,Tsumu
 Some , Sáshi 
Somebody, Zàzà 
Someone , Zàndóci 
Somersault,  Wa káṇgi 
Somersault , Káṇgi 
Something , Nyandoci 
  
Sometime ,Kandoci 
Son  ,Núgùn
 Song , Èlò 
Songster,  Lǒló 
Songstress,  Lǒló 
Son-of-a-bitch ,Egishi!
 Soon ,Tsotso 
Soot , Nawupata 
Sop , Tsu 
Sorcerer,  Nyagèci 
Sorcery,  Nyagè
 Sordid , Bonya 
Sore  ,Tan 
Sore (wound)  ,Ecî 
Sore throat,  Berepa 
Sorghum ,Dundorogi 
Sorrel , Èmaṇ Èmaṇgi
 Sorrel seed , Eda 
Sorrow,  Lugu  
Sorrow  ,Tanyagbàṇn
 Sort  ,Yirigi 
 Sort out  ,Tun yekan 
Soul,  Egbàṇ Sagban 
Sound  ,Èwó 
Sound , Pǐ 
Soup  Eni ,Ningbana 
 Sour , Bá Báká  
Source , Dzòdzò 
Soused  ,To Toya
 Souvenir,  Kùmbushi 
South,  Tàkò 
Sovereign , Esa 
Sovereignty , Sǎgì 
 Sow  ,Ka Dzo  
Sow (broadcast),  Mi 
 Soybean , Soyabin 
Space,  Egbé 
Spade,  Kantarako 
Spain,  Sipeni 
Span  ,Zunkpan
 Span (measurement) , Kami 
Spang ,Totoro
 Spanish , Sipenici 
Spank  ,lapin 
Spank,  Èpin 
Spar , Ṃạkò 
Sparge , Bèmí 
Sparging , Èmíbè 
Sparing  ,Dinboye 
Sparrow,  Tswarwangi 
Spark,  Èdzwàn 
Spasm, Mani 
Spat  ,Dinbati 
Spattered , Kpatakpata 
Speak , Gàṇ gạngàṇ  
Spear , Èkwà
 Spear grass,  Eto
 Special , Yiringi 
Specialization  ,Nàgì 
Specialize , Gìnà 
Specialist , Nàgìci 
Specie , Lirika 
Specific  ,Gwafìngi 
Specifically , Gwafìnginyi 
Specify , Fìngwa
 Speck  ,Ebitswa 
Spectacles,  Bàyěleye
 Spectrum , Bósàṇ
 Speculate  ,Sosoko
 Speculation,  Sokoso
 Specter, Yékinya
 Speech , Emigan 
  
Speed,  Ze Zeci 
Speed  ,Zeze 
Spellbound , Shì 
Spend (money)  ,Lowo 
Spending , Wolo Ewolo 
Spendthrift,  Ewowuci
 Sperm , Tìgì 
Sphere , Buru  
Spherical , Burutugi 
Spice  ,Tsunfiania
 Spider,  Edzu Edzuluko 
 Spider (large hairy type) , Kpiáriàgǐ 
Spider flower,  Eya kapangi 
Spider lily (crinum) , Kpěgí 
Spider tree , Kulanci 
Spike  ,Bidan 
Spill , Zheya  
Spin , Jè 
Spin (cotton)  ,Píṇ
 Spin (top)  ,Cekpa 
Spinach , Tsunfiannia
 Spinach (water spinach)  ,Danma 
Spinal column , Bala 
Spine,  Koto 
Spindle  ,Kwạkwạrwạgún 
Spindle (large) , Kokoro
 Spinner , Lupíṇci Lulupíṇci 
Spiny amaranth,  Ekan shanshangi 
Spirit,  Guzhe
 Spirit (late),  Kuci 
Spiritual  ,Guzhegi 
Spit  ,Shakin 
Spit (saliva) , Gbin micinni  
Spite,  Shìtú 
Spittle,  Èní  
Splash,  Cenuwan  
Spleen , Gbángbárà Malan shempa
 Splice  ,Fin 
Splint  ,Èlà 
Splinter , Èka 
Split (burst) , La Lafi  
Split (break)  ,Kpin Kpinfi
 Split (disperse) , Sakpa 
Split up  ,She
 Splutter,  Ta gutwanitwani 
Spoil , Nyi Nyiya  
Spoil (booty)  ,Lekun Elekun Ele ekun
 Spoiled (child)  ,Deba 
Sponge,  Soso 
 Spongy , Fùtù 
Spongy (soft)  ,Bwadwa 
Spontoon,  Ekwamashi 
Spoon , Ewògi  
Spoon (dessertspoon) , Kòzhiya 
Spoon (tablespoon)  ,Kangi 
Spoon (teaspoon)  ,Kóyí
Spoor , Ebi 
Spore , Eso 
Sport , Kìlǐsa 
Sport  ,Sakìlǐ 
Spotted,  Gayere  
Spouse  ,Yebaci 
Sprain , Yé 
Spray , Shefè 
Spread , Là Làkpe  
Spreadeagle , Kpe para 
Sprig , Egba 
Spring (season),  Sạngiká 
  
Spring (water)  ,Sạngi  
Spring (fluid)  ,Ti 
Spring (jump)  ,Nyanya
 Sprinkle,  Mí 
Sprinkle(the ground)  ,She 
Sprint , Baci Ba ci
 Sprout , Dzwa Dzwaye 
 Spur , Cegbandoro 
 Spur , Gbandorogi 
Spur (for horsemen),  Kạyimi
 Spurge , Lowugi
 Spurn,  Toce 
Spurn,  Eceto 
Spurtle,  Jèbanci 
Spry  ,Papanyi 
Spy  ,Túlè  
Spy,  Èletúci  
Spying,  Èletú 
Squabble  ,Tami  
Squander (money) , Wuwo 
Squandering  ,Ewowu
 Square , Patapa Pata pata 
Square  ,Gunnimi Pàta Pàta swạrwạ
 Square (village square town square) , Egban 
Squash,  Bo 
 Squash , Ebeshe 
Squashy , Nyama 
Squat , Foforo 
Squat , Forofo 
Squat (short) , Piatiagi 
Squeal,  Fiakuṇ
 Squid , Nadzwagwa Ena dzwagwa 
Squidgy , Dzwagwa 
Squint  ,Yeye 
Squirm , Nagban 
Squirrel,  Dungi Edungi 
Squirrel (tree-squirrel),  Èpiági
 Stab,  Tunbi  
Stable , Gbodo 
Stable yard,  Dokomba 
Stabling , Dokomba 
Stack  ,Dangurasa  
Stack  ,Kpaje 
Stacked (breast),  Jekun
 Staff  Stag beetle , Gbingbianniaku 
Stage  ,Kpedà 
Stage  ,Jin dami 
Stagger  ,Jin jigajiganyi 
Stain, Shiaka 
Stair  ,Dàguṇ  
Stake,  Kàṇgàri  
Stale   ,Jin dokandokan
  Staleness  ,Dokandokan
 Stalk (plant) , Kpace 
Stalk (of leaf) , Biyegi
 Stalk  ,Gbe 
Stalk , Badà 
Stalk  ,Edàba
 Stalker,  Egbeci
 Stall,  Rufa
 Stall (seat) , Esadunfe 
Stamen,  Dulia
 Stamina  ,Kodagi
 Stammer , Ta kokoba Ta kokobamba
 Stammer , Kokomba 
 Stamp  ,Mipa 
Stamp , Pami Pa emi 
  
Stand , Dingbaro
 Stand (endure) , Jin kaliko 
Standard  ,Tsàfàkùṇ
 Standing ,Gbarodin
 Standstill , Gikinni 
Stand up , Nakin
  Staple,  Gbangban
 Stapler  ,Gbangbangi
 Star , Kpàshì Tswangi  
Star bur  ,Kashiyawo 
Starch , Efun
 Stare ,  Stare   
Starer , Eyelaci
Stargaze , Ceyetu etswa 
Stargazing , Eyecetu etswa 
Stark-naked  ,Kolómbó
 Start,  Yá 
Start  ,Yákun 
Starting  ,Yiya  
Starting point , Yaba Yiyaba 
Startle  ,Wado
 Startled , Wado 
 Starve , Wu madan
 Starvation , Madanwu 
 Starved person,  Madawunci  
State (say)  ,Cinmi 
State (condition)  ,Kiṇnigí 
State (government) , Kinmishi
 Statement , Gàṇmi 
Station  ,Kiṇnigíbà
 Station master, Ndǎ kiṇnigíbà Ashamu 
Statue , Wushi
 Status , Kiṇnigíró
 Statutory  ,Adimu Dimu 
Steadfast , Gimì 
Steadfastness,  Mìgi 
Steady  ,Warawaranyi 
Steal,  Yi
  Stealth,  Bada
 Steam  ,Ruru Ruru yipa  
Steamer  ,Eya ruru
 Steamy  ,Dzwandzwanyi 
Steel , Léfà 
Steep  To Steer  ,Tsò 
Steerer , Tsótsógi 
Steering , Tsutsò
 Steering wheel    Stem  ,Gbokoci 
Stem  Sa, gbokoci 
Stench  ,Èyǎ Etswáṇyǎ 
Stench give  ,Ya Yatswáṇ
 Step  ,Kpedà
 Step , Dàguṇ 
Stepladder,  Ela 
Step out,  Kpe bici 
Steps , ekpa  
Stern (of boat) , Yazùṇ 
Sternum  ,Gutsukun 
Stew  Eni, yikpara 
Stew,  To Toni To eni 
Steward  ,Edzubapaci
 Stick  ,Tsùkùṇ 
Stick (adhere) , Temà 
Sticky , Temà 
Stiff  ,Gbadi 
Stifle,  Niko 
Still (not moving),  Kpìn  
Still ,Tosuṇ 
 Stillbirth , Dzanagi 
  
Still yet ,To gbani 
Stilt-walker  ,Bandoko 
Stimulant , Yazhi 
Stimulate , Kungbara
 Stimulation  ,Gbarakun
 Stimulus , Gbarakungi
 Sting,  Tun  
Stingy to be  ,Tanyabo  
Stingy person  ,Nyabotanci
  Stink , Gogba 
Stink , Egbago  
Stir  ,Zhin
 Stir up , Nikan 
Stirrup , Alikayifa 
Stirrup strap , Kilami 
Stitch , Gun 
 Stitch (abdominal pain) , Ezun 
Stitch (needlework)  ,Mashita
 Stock  ,Kìtì 
Stock , Túkìtì 
Stock (support),  Èbà 
Stockade , Egakun Ega ekun 
Stocking,  Debi Debici Èdě bici 
Stomach , Madan  
Stomatitis,  Misunkayila 
Stone  ,Tákùṇ 
 Stone-blind , Nakingbaye 
Stone-blindness , Nakingbagbaye 
Stonecutter  ,Tákùṇkáci 
Stool  ,Kpege 
 Stoop ,Ya Yakpe  
Stooped  ,Kanvo 
Stop,  Kpe  
Store , Kuwandan Ku wandan 
Store,  Dùṇbà Èdùṇbà 
Storekeeper , Èdùṇbàpaci 
Storey , Edagi 
Storey-building  ,Katafiti
 Stork,  Gạmangi 
Story , Shìtàṇ 
Stout , Bwàtwà
 Stove  ,Nanshi  
Straddle  ,Dakaka 
Straight , Gboró 
Straight (line) , Jèrě 
Straightaway ,Tsaranyi 
Straighten , Ta Tasun
  Straighten up (the body)  ,Kpétú 
Straight-jacket,  Ewo lukunbu 
Straight-jacketed , Pa lukumbu 
Strain,  Sa  
Strand , Èkáṇ  
Stranded  ,Gbǐ 
Strange , Kana 
Stranger , Zàkáṇ 
Strangle , Nìkò 
Strangle,  Ekònì 
Strap,  Nira 
Stratagem  ,Tawuri 
Strategist,  Ekaci 
Strategy,  Eka 
Straw,  Dogó  
Straw (for sipping drinks) , Fekunfe 
Stray,  Sayé 
 Streak , Gbada 
Stream  ,Edan 
Stream,  Jè 
Street  ,Yekoko 
 Strength , Efin 
Stress  ,Gban Gbanna
Stress , Nagban 
  
Stretch , Gìn 
Stretch (blow) , Be Bele
  Stretch,  Gin 
 Strew , Ga 
Stride , Ètà
 Stride , Satà Sa età
 Strife,  Keya 
Strike (hit)  ,Shikùn 
 Strike (hitting)  ,Èkunshì 
Strike (fire)  ,Sana 
Strike (with sword),  Ka ka ebiko  
Striking  ,Fanganyi 
String  ,Gbinni 
Strip  ,Fǎn
 Strip,  Diàrià 
Stripe , Yèrèngi 
Stripe  ,Tsa yèrè 
Striped,  Yèrè 
Stripping,  Yèrètsa 
Strive , Díṇgbàn 
Striving  ,Egbàndíṇ
 Stroll  ,Din bici  
Stroll , Bicidin 
Strong , Gboka 
 Strong person , Kagboci 
Structure , Kasògi
 Struggle,  Tsungun
 Struggle , Gunsun 
Strut  Ta, cinwan 
Strutting , Cinwanta
 Stubble , Ezhê 
Stubborn , Gbótíka 
Stubbornness , Etígbóka
 Stubby , Dugbạn
 Stumble , Cin bici 
Stump,  Gbigbi 
Student  ,Egi makanta
 Sturdy  ,Nyidin 
Studies  ,Katun Karatun
Study (studies),  Jin katun 
 Study , Katun
 Stuffy , Gùsǎ
 Stumble  Ni
 Stump , Tikukuru Cigban tikukuru 
 Stunned,  Jin gbarunyi 
Stunning , Gbaru 
Stunt  ,Sisatagi 
Stunt , Tasisa 
Stunted  ,Tasisagi 
Stupefy,  Gban 
Stupendous , Badada 
Stupid , Cenya
 Stupidity , Ènyà
 Sturdy , Gbagu 
Stutter , Ta kòkòbámbǎ 
Style,  Riga Ririga
 Sub- ,  Ningi 
Subdue  ,Gòtídạn
 Subject,  Botidan
 Subject  ,Bodangi Tibodangi 
Subjection,  Tibodan Etibodan 
Submerge , Ye nuwan 
Submission,  Elebe 
Submit  ,Bele 
Subscribe , Jin ganmi 
Subscription,  Ganmijin 
Subsequent,  Yetu 
Subsequently ,Yetunyi 
Subside , Yagba 
Substance , Gbàṇdò 
Substantial,  Gbàngbàndò 
  
Substantially , Gbàndònyi 
Substitute,  Godongogi 
Substitute , Godongo 
Subtle , Bozhe 
Subtract  ,Dinke 
Success , Gwagò Egwagò  
Succeed (follow)  ,Zhíṇmitú 
 Succeed (success) ,Gògwa
 Succeeding  ,Emizhíṇtú 
Succinct  ,Gbawa 
Succor,  Gadanga 
Succour , Jin gadanga 
Such ,Zhido 
Such and such, Kazan 
Suck (breast)  ,Yebe 
Suck (fruit) , Mu 
Sucker (fool) , Màmà 
Sucker (plant) , Giku 
Sucker (yam),  Èbù 
Sucker (plant) ,grow  Kugi 
Suckle , Yébé 
Sudden  ,Dǎgìrǐ 
 Suddenly ,Dǎgìrǐnyǐ 
Suddenness  ,Dǎgìrǐ 
Suds , Efugi
 Sue,  Yi kara 
Suffer , Gizo 
Suffering , Ezogi Zogi 
Sufficient to be  ,Kun Kungwa 
 Sufficiency  ,Gwakun Egwakun
 Sugar  ,Dàmùgi Dà munugi 
Sugarcane  ,Kpànsáṇṇákó 
Suggest , Ganja Gan janyi 
Suggestion  Janyigan
 Suit  ,Go nyi Gonyi 
 Suitor  ,Nugùnyǐ 
Sulk ,  Jin tsukpanyi 
Sulky ,Tsukpanyi 
Sulphur  ,Biyigidi Ebi yigidi 
Sultan  ,Sutan 
Sultry,  Dzwadzwanyi
 Sum,  Lukondo 
Sum,  Fege 
Summer  ,Banagunka 
Summarize  ,Dzugbo 
Summary ,  Gbodzu
 Summer  ,Gbanyi Gban eyi
 Summit  ,Gbonti Gbogbonti
 Summon , Zhige 
Summon , Gezhi 
Sump , Mashigi 
Sun  ,Yigídí Eyi 
 Sun , Tuyi 
Sunday  ,Fonkpá Efo kpátí  
Sunken ,(hollow)  Kodo 
Sunken eyes , Eyekodo 
Sunrise , Labìn 
Sunshine , Yìpe 
Sunup , Zawan 
Supercilious,  Taga 
Superior  ,Kpesa
 Superior (Leader) , Ganbe 
Superiority , Sakpe Esakpe
 Supersede , Kagan
 Superstition  ,Kutiye 
Superstitious ,Yekuti 
Supple , Fúnyà 
Supplicate , Jin aduwa 
Supplication,  Aduwa 
Support (assist),  Mà 
Support (help) , Sogwa So egwa
 Support (hold) , Sungwa 
  
Support (post),  Gaṇgaṇ 
Suppose(if)  ,Yegan 
Supposing ,Acigan 
Supposing that ,Kabeke 
Supreme  ,Kpèsa 
Supremacy , Sàkpè 
Sure , Manna 
Sure for,  Ladudi 
Surfa  ,Gungba
 Surface , Títú 
Surface , Wàtú
 Surfacing , Wuwàtú 
Surfeit , Danbu
 Surge  ,Nạre 
Surname , Kaye 
Surpass , Lití 
Surplus  ,Dùkpe 
Surprise  ,Dè Dè… dè  
Surprise,  Dèdè 
Surrender,  Goto 
Surrender  ,Togo Etogo 
Surreptitious  ,Swanyi 
Surround  ,Makeze 
 Surround,  Ma goba 
Surroundings  ,Goba Gobagi 
Suspect , Jin Tuma 
Suspense , Fòfògan
 Suspicion,  Tuma Tuhuma
 Suspend (hang) , Ha  
Suya  ,Bàsạnta 
Suzerain  ,Dunfia  
Svelte,  Daragi 
Swab , Rumaka 
Swagger (boast) , Gigbe 
Swagger , Gbegi 
Swallow,  Nyi  
Swallow,  Kpandiadialugi
 Swamp , Bàtà  
Swamp  ,Kota 
Swamp dweller , Bàtàci
 Swamp grass  ,Adinkoro 
Swan , Lukólukó 
Swap , Doci
 Swarthy  ,Zhini Zhinyi 
Swarm , Emwa 
Sway  ,Ban
 Swear  ,Shín 
Swear (against),  Bómi
 Swear (swearword),  Mibó Emibó 
Swearer , Shínci 
Swearing  ,Shínshi 
Sweat,  Enùkpa  
Sweat , Kpanù  
Sweat bee  ,Bìnì 
Sweat fly ,Yesunko 
Sweep,  Fìṇ  
Sweeper  ,Èfìn 
Sweeping (all) , Fannyi 
Sweeping (remains) , Yiko Eyiko 
Sweet,   Ṃá  
Sweet,  Ṃáṇá Ṃáṇági  
Sweet melon , Kadan gbani 
Sweet potato  ,Kúdúndùkú 
Swell (body),  Sạn Sạnba 
Swelling (sore),  Wun 
 Swelter  ,Cinnu 
Sweltering, Tsutsunyi 
Swift , Pě 
Swill , Vovogi
 Swim,  Gbin Gbin nuwon 
 Swimmer , Nuwangbinci 
  
Swindle , Biye 
Swindle  ,Yebi 
Swindler , Yebigi 
Swine,  Kutsun 
Swine fever ,Gagun Egagun 
Swing , Pan Panle Panlebelebe 
Swipe , Wadzu
 Swirl, Kpoyi 
Switch , Shici
 Swizzle ,stick  Buruga
 Swollen , Sạnpu Sạnpugi 
Swoop,  Ya 
Sword,  Ebiko 
Sword (cheap type)  ,Tạmạgi 
Sword belt  ,Gbàṇshi
 Sword knot,  Amilagi 
Sword lily , Lumyanyan
 Sycamore , Gbayi 
Symbol  ,Shiafi 
Symbolize  ,Go shiafi 
Sympathize  ,Gunyé 
Syndrome,  Cigáṇí Ecigáṇí 
Synopsis , Kpékpéré 
Synthesize,  Dǎndò  
Syphilis , Tunjere 
Syringe , Ègu
 Syrup  ,Dìṇgborokạ 
System  ,Mikugúṇ Emi ku gúṇ
