Surah 7:1, Alif Lam Mim Sad.,Alif. Lam. Mim. Swad.
Surah 7:78,     So the earthquake took them unawares and they lay prostrate in their homes in the morning,!Kabara be dudu yan kin cia wan acia tinba fi emiazhio agbin ya zhi zhi be fuskazhi kpe kinbo.
Surah 7:79  ,           So Salih left them saying: "O my people! I did indeed convey to you the message for which I was sent by my Lord: I gave you good counsel but ye love not good counsellors!",Ucia dzun gan'abo uci gan: ya ye jama'a yan mizhi! Akika mia eyan wu ya ye yan etun Tsoci mi mima jin ye gangba amma'ade ye ye wa za nazhie jin gangba na'a.
Surah 7:80,            We also (sent) Lut: He said to his people: "Do ye commit lewdness such as no people in creation (ever) committed before you,To Lutu kamina ugan ya jama'a yan'uzhi na: Ngba ye' da lo tun alfahsha etun na zandondo shiyedzo be jin jin'uyin mini alittazhi boa na
Surah 7:81,          "For ye practise your lusts on men in preference to women : ye are indeed a people transgressing beyond bounds.",Akika ye yelo ba bagi naycin yezhi eti shahawao ke yinzagizhi lugwa: A'a yede eyan nyin cizhi ye yio.
Surah 7:82    ,        And his people gave no answer but this: they said "Drive them out of your city: these are indeed men who want to be clean and pure!",Yandondo mafedan jawabi yan jama'a yan'uzhi boa sai de egan na'agan gan: 'ye a ku tinya dagan alkarya ebo: Akika a ezazhiayio nazhie wa lili be edzutae na.
Surah 7:83,      But we saved him and his family except his wife: she was of those who legged behind.,Yiciu wadzun to jama'a yan'uzhi sai de yinmiu na'afedan mini za nazhi badan zunmao na.
Surah 7:84  ,     And we rained down on them a shower (of brimstone): Then see what was the end of those who indulged in sin and crime!,Yici dule ko be kpea ele (azaba) To cinle kendoe zoba le'fi jincizhi yi yi na.
Surah 7:85         ,                           To the Madyan people We sent Shu´aib one of their own brethren: he said: "O my people! worship Allah; Ye have no other god but Him. Now hath come unto you a clear (Sign) from your Lord! Give just measure and weight nor withhold from the people the things that are their due; and do no mischief on the earth after it has been set in order: that will be best for you if ye have Faith.,(Yimatun Tuci) lo Madyana yegiatso Shuaybu Ugan: "Ya ye jama'a yan mi zhi! Ejin bawta ya Soko (gbaugi) ye de Tsoci ndoci zunmauboa Akika hujja na'atula na dabe ya ye dagan eba Tsoci ye boani! Ebo acin'o yea tsunwanzhi to eyanmanzhi she ye mae ga fe ke zazhi yan tukun ma ye mae ga nyin yan kinbo baci edzuta'u boma wuncin ga yi alheri ya ye yeo wun'ayi muminizhi ye yio na.
Surah 7:86 ,                      "And squat not on every road breathing threats hindering from the path of Allah those who believe in Him and seeking in it something crooked; But remember how ye were little and He gave you increase. And hold in your mind´s eye what was the end of those who did mischief.,Ye mae ga fe da fedun ta ekondondo fe yiba ba zazhi fe kan eko Soko yinda ya zanazhia imani jin na ma fe wa gan eko Soko ulauzhe kandan ye mae pa kamina ye yi eza de gi Soko cia ye la'adokunna. Ye mae cin'ele-elo kendoe zoba yan zanazhie nyin yan na yi yi na.
Surah 7:87   ,               "And if there is a party among you who believes in the message with which I have been sent and a party which does not believe hold yourselves in patience until Allah doth decide between us: for He is the best to decide.,Uma gabea fe gan kasan ndoci mini yebo a imani jin be yanna atun mi tun na kasan ndoci ma alaa yegan ajin imania to yea hakuri jin har Soko ula hukunci'u ba tsakani yibo (beayin) Soko gama gan zanazhie jin hukunci kpata nao.
Surah 7:88          ,          The leaders the arrogant party among his people said: "O Shu´aib! we shall certainly drive thee out of our city - (thee) and those who believe with thee; or else ye (thou and they) shall have to return to our ways and religion." He said: "What! even though we do detest (them),Wancin nazhia gbotika mini jama'a yan'uhio na gan: "Akika yi gao yan dzuntinya wyoe Shuaibu to zanazhia imani jin ganin beoyin na dagan alkarya yibo: Koma baenio ye-daezhin adini yi: Ugan: Ngba! Ka wun'ayi gan yi ya navo
Surah 7:89   ,                                      "We should indeed invent a lie against Allah if we returned to your ways after Allah hath rescued us therefrom; nor could we by any manner of means return thereto unless it be as in the will and plan of Allah Our Lord. Our Lord can reach out to the utmost recesses of things by His knowledge. In the Allah is our trust. our Lord! decide Thou between us and our people in truth for Thou art the best to decide.",Akikama yi ga ganmana tswa ta Soko dan'o na yi gake zhe dazhi adini ye na ba ci na Sokoa yi wadzun tinya dagan miniubo na uma ga gwoyin na yia kezhe dazhin bo be na'a sai de yanna gabe ba Soko Tsoci yi (cijin be yi yin na). Tsoci yi wyun'a yandondo makezhe be kpikpe. Soko gama yi yakpeo. Tsoci yi! Ahukunci ba tsakani yibo be jama'a yan yizhi be gaskiyae wyogayi Etsu na gan zanazhie ba hukunci kpata nao.
Surah 7:90 ,          The leaders the unbelievers among his people said: "If ye follow Shu´aib be sure then ye are ruined!",Wancin nazhia jin kafirci mini jama'a yan'uzhio na cigan: "ye ma ga mitu Shuaybu akika ma ye ga zhe eza hasarazhi.
Surah 7:91,     But the earthquake took them unawares and they lay prostrate in their homes before the morning!,Kunkun yan samma cia wan gancin acia tinba fi emiazhio a nikin zhi zhi be fuska zhi'kpe kinbo.
Surah 7:92 ,           The men who reject Shu´aib became as if they had never been in the homes where they had flourished: the men who rejected Shu´aib - it was they who were ruined!,Zanazhi yi (egan) Shuaibu ganmana na (afe) ke wyoa yegan ko afe fi (yizhe) boa nazanazhi yi egan Shuaibu ganmana na afe agayi eza hasarazhio.
Surah 7:93 ,             So Shu´aib left them saying: "O my people! I did indeed convey to you the messages for which I was sent by my Lord: I gave you good counsel but how shall I lament over a people who refuse to believe!",Ucia zunma ce kea lugwa uci gan: "ya ye jama'a yan mizhi! Hakika mia yan wu ya ye yan etun na Tsoci mi tun mi na. Mi ma jin ye gangba to ke adada mi cia fe nyin yangban eti (azaba) jama'a nazhia jin kafirinci nao
Surah 7:94 ,           Whenever We sent a prophet to a town We took up its people in suffering and adversity in order that they might learn humility.,Yima la'atun Annabi ndoci lo alkarya ndoci lea sai de yi ga za kin wun cin (nazhia lebana) wan be aza'bae be bayibazhi to be egunzhi ujinwo be wuncin'y afe da kpya ya Soko.
Surah 7:95  ,               Then We changed their suffering into prosperity until they grew and multiplied and began to say: "Our fathers (too) were touched by suffering and affluence" ... Behold! We called them to account of a sudden while they realised not (their peril).,Gancin Yicie la gwasan la'adan eyandedeo be eyan wangi har ala-dokun acia gangan: "Hakika egun be azabae a yanmanci yizhi togwa. (aci kezhe da kafirinciyn jin zhi be) Gancin Yicia wan kpake te yin uma yi be kakpea yin'a.
Surah 7:96   ,              If the people of the towns had but believed and feared Allah We should indeed have opened out to them (All kinds of) blessings from heaven and earth; but they rejected (the truth) and We brought them to book for their misdeeds.,Hakika ma da acigan jama'a yan alkaryazhi ga imani jin jin aci tswa Soko be dan sun'u yin da'yi ga eko albarkazhi kpe ya'a dagan samao to kinbo amma'ade a (alamari Soko) yi ganmana ebo acin'o Yicia wan be iri etun nazhi afe cewo'u na.
Surah 7:97 ,       Did the people of the towns feel secure against the coming of Our wrath by night while they were asleep,Kashi jama'a yan alkaryazhi a aminci ya ya gan azaba ucin'ube uta a be yeshi alali ma a dan mini ele leo
Surah 7:98  ,      Or else did they feel secure against its coming in broad daylight while they played about (care-free),Kashi jama'a yan alkaryazhi a aminci ya ya ke azaba Yi ubeu ya'a lokaci yan batin'y kamina adan mini edzo na
Surah 7:99  ,       Did they then feel secure against the plan of Allah- but no one can feel secure from the Plan of Allah except those (doomed) to ruin!,Kashi a aminci ya ya be tangitso yan Sokoe To ade zandondo na'aya aminci be tangi tso Sokoe na'a sai de jama'a nazhi ga yi eza hasarazhi na
Surah 7:100 ,                 To those who inherit the earth in succession to its (previous) possessors is it not a guiding (lesson) that if We so willed We could punish them (too) for their sins and seal up their hearts so that they could not hear,Kashi'ukun bawu ya zanazhe gi'gun yan kin baci yan jama'a nazhi ga -- gan na'a ke wun'a ba yi ba Yiga'a wan be zunubiazhi-na'a Yici ga eyan la'tea yangbanzhio aci ga'afe zanazhie wogan'a na'ayan'a
Surah 7:101    ,                  Such were the towns whose story We (thus) relate unto thee: There came indeed to them their messengers with clear (signs): But they would not believe what they had rejected before. Thus doth Allah seal up the hearts of those who reject faith.,Alkarya wuncinzhi Yie ta ya wyoe dagan mini labariazhio hakika ma Tuciazhi be ya'a be hujja nazhi tula na to amafe zanazhia jin imani be yanan u'uyi ganmana shidzo batsozhio na'a. Acinga ga Sokoe la eyan te yangban yan kafirizhio.
Surah 7:102,        Most of them We found not men (true) to their covenant: but most of them We found rebellious and disobedient.,Yi ma tsun alkawali (kpoki) be ekun dondo azhi yin'a akika Yitsun ekundondo'azhi fasikizhi ayio.
Surah 7:103   ,            Then after them We sent Moses with Our signs to Pharaoh and his chiefs but they wrongfully rejected them: So see what was the end of those who made mischief.,Gancin be Yi ci tun Musa tun zumma'abo be hujja Yizhi lo eba fir'auna be nunsa-jama'a yan'uzhi acia eti tacin'a jin zwalunci beuyin to cinle kendoe zoba zanazhie nyin yan na yi yi nae.
Surah 7:104  ,     Moses said: "O Pharaoh! I am a messenger from the Lord of the worlds-,Musa ci gan: "ya wyoe fir'auna! Hakika mi Tuci mi yio dagan eba Etsu naekpa alittazhi kpata nae
Surah 7:105 ,                One for whom it is right to say nothing but truth about Allah. Now have I come unto you (people) from your Lord with a clear (Sign): So let the Children of Israel depart along with me.",Hakika uyio ke de mia gan gan ndondo eti Soko boa sai de na ga yi gaskiya na akika mi be ya ye be bayani na'atula na dagan eba Tsoci yebo ebo acin'o a Banu Israela zhi ya ya mi.
Surah 7:106,          (Pharaoh) said: "If indeed thou hast come with a Sign show it forth- if thou tellest the truth.",Ugan: wun'ayi gan wyo be be hujja na'atula na to la'ube yn wyo ga'afe dan mini eza gaskiya zhio na
Surah 7:107,     Then (Moses) threw his rod and behold! it was a serpent plain (for all to see)!,Ucia tsun kun'u ce ci ci ucia zhe wanko na'atula na.
Surah 7:108,     And he drew out his hand and behold! it was white to all beholders!,Uci kezhea egwau wa tinya ucia zhe bokun (be haske) ya zanazhie cin ba le na
Surah 7:109,        Said the Chiefs of the people of Pharaoh: "This is indeed a sorcerer well-versed.,Wancin yan majalisa Fir'auna zhi cigan: Hakika (za) na na eyan manci uyio kpikpe de ci uyio.
Surah 7:110  ,    "His plan is to get you out of your land: then what is it ye counsel",Wyun'e wa wa gan ula ye yeu lau'tin'ya dagan kinmiebo: to gbani ki yi shawara ye yeo
Surah 7:111  ,    They said: "Keep him and his brother in suspense (for a while); and send to the cities men to collect-,Aci gan: 'Uu dan kangi be'dzo to yegiu wyo mao tun za zhio lo ezhinin ebo jama'azhi'a laagun'a yekan.
Surah 7:112,   And bring up to thee all (our) sorcerers well-versed.",Ama'a bea ya wyoe be eyan manci ndondoe na de kpi kpe na.
Surah 7:113 ,         So there came the sorcerers to Pharaoh: They said "of course we shall have a (suitable) reward if we win!",Eyan mancizhi ma da be eba fir'auna aci gan: ngba hakika yi gaade galaba yiade ega gba yan etun
Surah 7:114,    He said: "Yea (and more)- for ye shall in that case be (raised to posts) nearest (to my person).",Ugan: Acin gao hakikama yega fedan mini eza tsonba zhio.
Surah 7:115 ,        They said: "O Moses! wilt thou throw (first) or shall we have the (first) throw",Acigan: wyoe Musa! Ko de wyo la'u kayn'ce koma yi-lay fe zanazhia ce na
Surah 7:116 ,         Said Moses: "Throw ye (first)." So when they threw they bewitched the eyes of the people and struck terror into them: for they showed a great (feat of) magic.,Ugan: ye fe ce. To kamina a ce yanzhi na a'eye zazhi jin sihiri acia li dansun aci be be sihiri na wancin nae.
Surah 7:117,          We put it into Moses´s mind by inspiration: "Throw (now) thy rod":and behold! it swallows up straight away all the falsehoods which they fake!,Yici jin wahayi fi Musa gan: "A'tsukun wyo ce ci ci gancin uci fe ku yanazhi a man yan ganmana na nyin.
Surah 7:118 ,    Thus truth was confirmed and all that they did was made of no effect.,Gaskiy cia tula etun nazhi ama fe lo na cia nyin ya.
Surah 7:119 ,  So the (great ones) were vanquished there and then and were made to look small.,Acia zankpe ba gao acia zheban afe eza gbi gba ci zhi.
Surah 7:120 , But the sorcerers fell down prostrate in adoration.,Eyan manci zhi cia nikin zhi-zhi eti ekpyadao.
Surah 7:121 ,  Saying: "We believe in the Lord of the Worlds-,Aci gan: yi yia imani jin be Etsu naekpa halittazhi kpata na.
Surah 7:122,  "The Lord of Moses and Aaron.",Tsoci yan Musa to Harunae.
Surah 7:123,                  Said Pharaoh: "Believe ye in Him before I give you permission Surely this is a trick which ye have planned in the city to drive out its people: but soon shall ye know (the consequences).,Fir'auna ci gan: Asa ye yea imani jin beu yin tun mi la'ya ye izinia Hakika na na makirinci uyio na ye jin fi zhininbo na ebo yela zazhi zhie nyan'e tin'e ya dagan minubo: to be le yin ma ye'abe kpe. (yan na miajin na)
Surah 7:124,       "Be sure I will cut off your hands and your feet on apposite sides and I will cause you all to die on the cross.",Hakika ma migae egwazhi ba ya to biciezhi eti cice le bao (bici gwalo be egwa gwapin'y) gancin mici gae fo-sa baenio
Surah 7:125,    They said: "For us We are but sent back unto our Lord:,Agan: Hakika yi de eba Tsoci yi tsa yia zheban lo
Surah 7:126,               "But thou dost wreak thy vengeance on us simply because we believed in the Signs of our Lord when they reached us! Our Lord! pour out on us patience and constancy and take our souls unto thee as Muslims (who bow to thy will)!,Dalili ndondo ma danbo na wyo ga jin yi azaba naa sai de ebo na yia imani jin be egwa-wu yan zankpe Tsoci yi nae kamina ube ya yi na! ya wyoe Tsociyi! To (nuwan) hankuri kpeyi wyo mao wu yi musulumizhi.
Surah 7:127 ,                   Said the chiefs of Pharaoh´s people: "Wilt thou leave Moses and his people to spread mischief in the land and to abandon thee and thy gods" He said: "Their male children will we slay; (only) their females will we save alive; and we have over them (power) irresistible.",Wancin yan majalisazhi dagan mini jama'a yan fir'auna ci gan: Ye ga Musa ya to jama'a yan'uzhi ebo afea nyin-yan'afi kinbo uciu la wyoyo'u ya be kuti wyo yin Ugan: yi ga egi bagiazhi wu yi ci ga yinzagiazhi lugwa: hakika yima eza zankpe zhi yi yi ta etiabo.
Surah 7:128  ,             Said Moses to his people: "Pray for help from Allah and (wait) in patience and constancy: for the earth is Allah´s to give as a heritage to such of His servants as He pleaseth; and the end is (best) for the righteous.,Musa cia gan ya jama'a yan'uzhi gan: "E wa taimako be Sokoe ye mae la hankurie jin; hakika kin na na Soko wun'o' wyun'e lau gi gun ya zana ga bau mini wuzhiu zhiona zoba wangima wun'ajin tabbata ya zanazhi gae tswa Soko acie sundan'u na
Surah 7:129  ,                   They said: "We have had (nothing but) trouble both before and after thou camest to us." He said: "It may be that your Lord will destroy your enemy and make you inheritors in the earth; that so He may try you by your deeds.",Acigan: "Ajin yi gun kafi wyo beo ya yi na to baci na wyo be ya yi na Ugan: kengi'I uyio na aga makiriyezhi jin hallaka na uci ga ye ya kagbo kpe eti kinbo gancin ucia fe cin ye le kendoe ye ga jin jin na.
Surah 7:130  ,       We punished the people of Pharaoh with years (of droughts) and shortness of crops; that they might receive admonition.,Hakika ma Yia fir'auna wan be edagi-I yan eya nadokun na be kike yan yangici latizhi: wataki-la be wuncin'y aga'santu.
Surah 7:131  ,                   But when good (times) came they said "This is due to us;" When gripped by calamity they ascribed it to evil omens connected with Moses and those with him! Behold! in truth the omens of evil are theirs in Allah´s sight but most of them do not understand!,Gancin ma alheri ndoci ga'a dea:agan: Nana yan yi uyio Eyan de de maga tswan'a agan: Musa tsa jin'a efuo to wyin to zanazhi pama beu yin na! To hakika egagba yan efu de de azhi danbe Sokoe ama'ade ekun dondo azhi akpea.
Surah 7:132 ,          They said (to Moses): "Whatever be the Signs thou bringest to work therewith thy sorcery on us we shall never believe in thee,.Aci gan: yandondo na wyo ga be beyin ya yi yan egwa wu zankpe (aya) na ebo wyo lao jin yi sihiri (eyan ma) na To yi ga to bo wyo bo yia imani jin'a.
Surah 7:133  ,          So We sent (plagues) on them: Wholesale death Locusts Lice Frogs And Blood: Signs openly self-explained: but they were steeped in arrogance- a people given to sin.,Yici tun azaba yan tufanu (na fewua na) fia to eyan fufungizhi to kwokwota to tankpolo zhi to egya: ayazhi na zhi yi kaka yin-na; acia gbotika acia fe jama nazhi yi le fi jin ci zhi na.
Surah 7:134 ,                    Every time the penalty fell on them they said: "O Moses! on your behalf call on thy Lord in virtue of his promise to thee: If thou wilt remove the penalty from us we shall truly believe in thee and we shall send away the Children of Israel with thee.",Kamina masiba bea cin ta'a na aci gan:"Ya Musa! Ba aduwa ya yi be tsoci wyo yin ebo alkawali na wyo de beu yin na hakika wyo ga azaba la keyabo ya yi hakika yi ga azaba la keyabo ya yi Bani Israila zhi ya ya wyoe.
Surah 7:135  ,        But every time We removed the penalty from them according to a fixed term which they had to fulfil- Behold! they broke their word!,To kamina yi bea masiba wuncin la keyabo ya'yan lokaci degi na kanga gancin acia fe zanazhie lo al kawa li ya na.
Surah 7:136 ,         So We exacted retribution from them: We drowned them in the sea because they rejected Our Signs and failed to take warning from them.,Yici jin azaba yan egagba yicia gbin fi mini eduo ebo na hakika a aya Yizhi yi ganmana. Acia fe zanazhia ya-ye keu lugwa na.
Surah 7:137  ,                          And We made a people considered weak (and of no account) inheritors of lands in both east and west - lands whereon We sent down Our blessings. The fair promise of thy Lord was fulfilled for the Children of Israel because they had patience and constancy and We levelled to the ground the great works and fine buildings which Pharaoh and his people erected (with such pride).,Yicia Banu israila zhi la'azhe edu tu aci da gun be jama'a ndoci nazhia gi ba wun wun yan ku ti azhi na aci gan: Ya wyoe Musa! A yan doci ci ci ya yi na yia fe wun nae. Ugan: hakika ye jama'a tsoye yeo nazhi kpe yan dondo yea na.
Surah 7:138 ,                     We took the Children of Israel (with safety) across the sea. They came upon a people devoted entirely to some idols they had. They said: "O Moses! fashion for us a god like unto the gods they have." He said: "Surely ye are a people without knowledge.,Yicia Banu Israila zhi la'azhe edu tu aci da gun be jama'a ndoci nazhia gi ba wun wun yan ku ti azhi na aci gan: Ya wyoe Musa! A yan ndoci ci ci ya yi na yia fe wun nae. Ugan: hakika ye jama'a tsaye yeo nazhi kpe yan dondo yea na.
Surah 7:139,         "As to these folk- the cult they are in is (but) a fragment of a ruin and vain is the (worship) which they practise.",Hakika za nanazhi yanna adan-y ninbo na yannaa jin'a hallaka na uyio yan na mae jin kpata na ganmana uyio.
Surah 7:140 ,       He said: "Shall I seek for you a god other than the (true) Allah when it is Allah Who hath endowed you with gifts above the nations",Ugan: Ngba ndoci (zumaci) Soko ga mia la ya ye Tsocio ala'li ma Soko ga ya ye daraja ta eti alitta zhi bo
Surah 7:141 ,                And remember We rescued you from Pharaoh´s people who afflicted you with the worst of penalties who slew your male children and saved alive your females: in that was a momentous trial from your Lord.,(Ye mae fe pa ) lokaci na yi ganyegwa dagan egwa jama'a yan fir'auna zhio na afe jin ye azaba de de. Afe wu egi bagi yezhi acie la yinzagi ye zhi lugwa mini wuncin'o mimancin le wanciko danbo dagan eba Tsoci ye bo.
Surah 7:142 ,                     We appointed for Moses thirty nights and completed (the period) with ten (more): thus was completed the term (of communion) with his Lord forty nights. And Moses had charged his brother Aaron (before he went up): "Act for me amongst my people: Do right and follow not the way of those who do mischief.",Yima jin Musa alkawali nya yeshi gbanwo Yi cia gunmi be (efo) guwoe gancin lokaci yan Tsociu (beuyin) cia gunmi dan yeshi shibao. Musa cia gan be yegiu yin Harunae gan: Gikini yami dan mini jama'a yan mizhio wyo mao jin gyara (tsakaniabo) wyo mao ga la mitu ekpa yan zanazhie nyin yan nama.
Surah 7:143     ,                                   When Moses came to the place appointed by Us and his Lord addressed him He said: "O my Lord! show (Thyself) to me that I may look upon thee." Allah said: "By no means canst thou see Me (direct); But look upon the mount; if it abide in its place then shalt thou see Me." When his Lord manifested His glory on the Mount He made it as dust. And Moses fell down in a swoon. When he recovered his senses he said: "Glory be to Thee! to Thee I turn in repentance and I am the first to believe.",Kamina Musa be mi'kati yi na Tsociu cigan be uyin Musa cigan: ya wyoe Tsoci mi! La wu mi min fe cin wyo yn le! Ugan: wyoa le mi ye a amma cin le lo eba pati uga kpe gi kini wo dan dannaubo to wyo ale mi ye. Kamina Tsociu la elatu'u dzun wu pati na ucia pati gwo ruku. Musa cia nikin cia zun tsu. To kamina ube santu na Ugan: lili yan wyoe wun'a latu! Mima' tuba jin be eba wyoe mima ga yi eza mafari yan Muminizhio.
Surah 7:144   ,          (Allah) said: "O Moses! I have chosen thee above (other) men by the mission I (have given thee) and the words I (have spoken to thee): take then the (revelation) which I give thee and be of those who give thanks.",Ugan: Ya wyoe Musa! Hakika mia wyo tsa ta eti zawangi zhio be etun miyin to be egan mi yin. Ebo acin'o aegwa sun yanna mi la ya wyona wyo mao lao feo dan mini zanazhie jin yebo na.
Surah 7:145 ,                  And We ordained laws for him in the tablets in all matters both commanding and explaining all things (and said): "Take and hold these with firmness and enjoin thy people to hold fast by the best in the precepts: soon shall I show you the homes of the wicked- (How they lie desolate).",Yima cia ka yau dan mini elozhio (egan) iri ndondo ulau fe wa'azi be egan ye kpe ya yandondo: Eboacin'o agwa sun'a be kagboe wyo mao jin jama'a yan wyozhi foro ala gwa'sun bolo bolo'uzhi bele-yin mia la emi yan fasikizhi wu ye.https://play.google.com/store/apps/detailsid=com.noorlab.alquran
Surah 7:146 ,                                  Those who behave arrogantly on the earth in defiance of right - them will I turn away from My signs: Even if they see all the signs they will not believe in them; and if they see the way of right conduct they will not adopt it as the way; but if they see the way of error that is the way they will adopt. For they have rejected our signs and failed to take warning from them.,Mi ga za nazhie gbotika ta eti kinbo umayi be haki ndondo yin'ana pan ya ke aya Mi zhi lugwa. Ama ga le aya ndondo ye ajin imani beu yin'a ama ga eko bawu leye alau eko kirikia ama ga eko egbin leye  agau la eko kiriki. Wuncin mayi ebona aya Yi zhi yi ganmana na acia fe za nazhia ya ye keu lugwa na.
Surah 7:147 ,           Those who reject Our signs and the meeting in the Hereafter- vain are their deeds: Can they expect to be rewarded except as they have wrought,Zanazhi ma aya Yi yi ganmana na to gun gun na'abe gun be efo zobaena etun'azhi kpata'a gbinya (a nyin ya). Ngba egagba ndoci danbo na'a laya'a na sai de yan etun nazhi afe lo na
Surah 7:148  ,                   The people of Moses made in his absence out of their ornaments the image of calf (for worship): it seemed to low: did they not see that it could neither speak to them nor show them the way They took it for worship and they did wrong.,Jama'a yan Musa zhi cia nanko la dagan mini eyan ninpa'azhio aciu sa nakan kpace naetiwu (dozhin nanko na). Ngba aleyea kede akika wyun'e gan gan bea yin'a na a umae la'a ke eko gboroa na'a Acia egwa sun'u ama cia fe azwalumizhi.
Surah 7:149  ,               When they repented and saw that they had erred they said: "If our Lord have not mercy upon us and forgive us we shall indeed be of those who perish.",Kamina abea ya rogbonkpe-yn-tina atso cia le ye gbangbae ke de hakika a ya'gbin na agan: "hakika kagan Tsoci yi gun yi ye uci kezhe fa be yiyin'a yi ga'afe dan mini eza hasarazhio.
Surah 7:150  ,                                    When Moses came back to his people angry and grieved he said: "Evil it is that ye have done in my place in my absence: did ye make haste to bring on the judgment of your Lord" He put down the tablets seized his brother by (the hair of) his head and dragged him to him. Aaron said: "Son of my mother! the people did indeed reckon me as naught and went near to slaying me! Make not the enemies rejoice over my misfortune nor count thou me amongst the people of sin.",Kamina ma Musa dazhin eba jama'a yan'uzhi na wyun'afe zana'a zhewun uma' nyin yangban na. Ucigan: "Ala'wa be iri kendoe yegikinigi yami zunma mi bo na! Kashi ye wa egwa tso yan ega gba Tsoci ye wa Ucia elozhi ce ci ci ucia egwa sun eti yan yegiu uci fe din'ube itau. Ugan: ya wyoe ye gi mi! Hakika zawangizhi' amila eza gbogun ama'tso tso na agami wu na ebo acin'o ga lugwa makirizhi matsan kpe mi ma wyo mao ga la mi afe dan be jama'a nazhi yi azwalumizhi na ma.
Surah 7:151,          Moses prayed: "O my Lord! forgive me and my brother! admit us to Thy mercy! for Thou art the Most Merciful of those who show mercy!",Ugan: ya wyoe Tsoci mi! jin mi gafara to mi to ye gimi wyo mao la yi yio lao gan'o dan mini ye gun wyobohakika wyo ga yi Etsu yegun yan zanazhie gun zazhi ye nao.
Surah 7:152 ,             Those who took the calf (for worship) will indeed be overwhelmed with wrath from their Lord and with shame in this life: thus do We recompense those who invent (falsehoods).,Akika za nazhi da la nanko gigi (Tsoci) ci fe wun na ewunzhe yan tsocia ga'ajin tabatta ta eti'abo ganni be egbae mini edun fe izheo acinga ga ma yie ga zanazhie tswa ganmana nagbao.
Surah 7:153 ,            But those who do wrong but repent thereafter and (truly) believe- verily thy Lord is thereafter Oft-Forgiving Most Merciful.,Zanazhi ma ga lo etun dedezhi na gncin aci bea tu ba jin baci wuncin'o acia imani jin na hakika Tsoci wyoe baci wuncin'o Etsu gafara uyio Etsu ye gun' uyio.
Surah 7:153,             But those who do wrong but repent thereafter and (truly) believe- verily thy Lord is thereafter Oft-Forgiving Most Merciful.,Zanazhi ma ga lo etun dedezhi na gncin aci bea tu ba jin baci wuncin'o acia imani jin na hakika Tsoci wyoe baci wuncin'o Etsu gafara uyio Etsu ye gun' uyio.Surah 7:154              When the anger of Moses was appeased he took up the tablets: in the writing thereon was guidance and Mercy for such as fear their Lord.Kamina ewunzhe yan Musa be dazhin kin na wyun'a Elozhi la' mini yan na aka fibo na bawu danbo to yegun yaza nazhie sundan yan Tsocia na.
Surah 7:155 ,                                       And Moses chose seventy of his people for Our place of meeting: when they were seized with violent quaking he prayed: "O my Lord! if it had been Thy will Thou couldst have destroyed long before both them and me: wouldst Thou destroy us for the deeds of the foolish ones among us this is no more than Thy trial: by it Thou causest whom Thou wilt to stray and Thou leadest whom Thou wilt into the right path. Thou art our Protector: so forgive us and give us Thy mercy; for Thou art the best of those who forgive.,Musa ci li za adwani bagizhi mini jama'a yan'uzhio nazhi lo miqati Yi na (bana Musae da -- wahayi na). To kamina kunkun yan sanma wan'a na. Ugan: Ya wyoe Tsoci mi! uga ga ba wyo ba daa wyo ga'ajin hallaka shidzoani to mi tso. Ngba wyo ga yi jin hallaka ebo etun (dede) na wawa yizhi lo na Wuncin de fea saide mimacinle yan wyoe zana ga ba wyona wyoe la'ugbin be uyin zana ma ga ba wyona wyoe lau lake eko; wyo ga yi Ndakata yi yio. To fa be yi yin wyo mao gun yi ye hakika wyo ga yi Etsu na wancin gan naefa be zazhi nao.
Surah 7:156 ,                            "And ordain for us that which is good in this life and in the Hereafter: for we have turned unto Thee." He said: "With My punishment I visit whom I will; but My mercy extendeth to all things. That (mercy) I shall ordain for those who do right and practise regular charity and those who believe in Our signs;,Wyo mao ka bolobolo'oya yi dan mini yizhe nanao to mini efo zobae (alkiyamio). Hakika yi yia tuba jin be eba wyoe. "Ugan: "Azaba Mi Mie lau la jin zana gaba Mi na yegun yan Mi ma wyun'a gwo yandondo. Mi ma gau la'ajin tabatta ya zanazhi gae tswa Soko acie sundan'una amae la zakka dukiyazhi wa na to zanazhia imani jin be aya yi zhii na.
Surah 7:157 ,                                         "Those who follow the messenger the unlettered Prophet whom they find mentioned in their own (scriptures)- in the law and the Gospel;- for he commands them what is just and forbids them what is evil; he allows them as lawful what is good (and pure) and prohibits them from what is bad (and impure); He releases them from their heavy burdens and from the yokes that are upon them. So it is those who believe in him honour him help him and follow the light which is sent down with him- it is they who will prosper.",Za nazhie la mi tu Tuci na nayi Annbi na nayi umiyyu na (zana gba katun lea uma ka leana) nama atso tsun'u kikaci eba'abo fi mini Attaurao to Injilao na wyun'e jin'a foro be etun wangizhi umae kan'a etun dede'ynlo; umae la eyan wangizhi jin halali ya'a umae la eyan dedezhi jin haramu ya'a umae la eyan kpinluzhi ke yabo ya'a to kuruzhi nazhi ta eti abo (yan dandanzhi na). To zanazhi ga imani jin beu yin na aci gbouka na aci jin;u taimako na acia mi tu haske na'acin be yau na zawuncinzhi ga yi eza robozhio.
