Surah 12:2  ,   We have sent it down as an Arabic Qur´an in order that ye may learn wisdom.,Hakika Yi ga cin'u beo Alkur'anu uyio be zhimi larabci ujin wo be (gbigba) uyin ye ga'ade hankali.
Surah 12:76   ,                             So he began (the search) with their baggage before (he came to) the baggage of his brother: at length he brought it out of his brother´s baggage. Thus did We plan for Joseph. He could not take his brother by the law of the king except that Allah willed it (so). We raise to degrees (of wisdom) whom We please: but over all endued with knowledge is one the All-Knowing.,Ucia ca be cin cinle jika'azhi kafi yan yegiuna gancin ucia evo tsunwan wuncin wa tinya dagan jika yegiubo. Acinga ga yi jin shiri ya Yusufuo. Wun'a -- yin ya wun'a na wyun'a -- yegiu eti hukunci etsu Misrao naasaide (acin) ga ba Soko na. Yie la darajazhi tu ya zana ga ba yina. Ta eti yan kpikpeci ndondo ade kpikpeci na gan'una.
Surah 12:77     ,                  They said: "If he steals there was a brother of his who did steal before (him)." But these things did Joseph keep locked in his heart revealing not the secrets to them. He (simply) said (to himself): "Ye are the worse situated; and Allah knoweth best the truth of what ye assert!",Acigan: Wyun de ga yi yan yi ga to hakika yegi wyuntso yiyan le ani Yusufu cia egan nana swo dan yangban'ubo uma lau tinya wua ucie gan (dan yangban'ubo) yetso tsa yi za dedezhi na gan nao. Soko ma de kpikpe gan be iri etu nazhi ye lona.
Surah 12:78       ,       They said: "O exalted one! Behold! he has a father aged and venerable (who will grieve for him); so take one of us in his place; for we see that thou art (gracious) in doing good.",Agan: Ya wyoe Aziz! Hakika uyibe babae na ma'aku ku na ebo acin'o a zaeni la mini yibo kinigibaubo; Hakika yi mae le wyo ye dan mini eza bolobolozhio.
Surah 12:79,            He said: "Allah forbid that we take other than him with whom we found our property: indeed (if we did so) we should be acting wrongfully.,Ugan: Soko'u gwo yiu tswa na yi ga gwasun zandoci na ma yi le kaya yi ye beu yin'a nae; yiga jin acin ngan yiga'afe dan mini azwalumizhio dan'ona.
Surah 12:80    ,                                Now when they saw no hope of his (yielding) they held a conference in private. The leader among them said: "Know ye not that your father did take an oath from you in Allah´s name and how before this ye did fail in your duty with Joseph Therefore will I not leave this land until my father permits me or Allah commands me; and He is the best to command.,Kamina abea kauna ba beuyin eti aye wa nao naaci da kapa-nni fe da baza Nunsa'a ci gan: Beke ye kpewo gan baba ye-yea alkawali la be ye yin yan tsakani ye be Soko yin'ana Yetso ma kpe iri eye na ye ya be be Yusufu'I na to mide a ya kin yan Misra'a har she babami ga mi ya izini yan zhinzhin koma Sokou jin hukunci naga bauna be mi yin. Wyun ga mayi Etsu hukunci jin cizhio.
Surah 12:81 ,               "Turn ye back to your father and say ´O our father! behold! thy son committed theft! we bear witness only to what we know and we could not well guard against the unseen!,She ye zheban'e da eba baba ye yecie gan'ugan: Ya wyoe babayi! Hakika egi wyoe wyun'a yan yi! Yima ya eri nana ya'a saide yan yanna yide kpikpeu na yi made kpikpe yannazhia swo na'a.
Surah 12:82  ,        "´Ask at the town where we have been and the caravan in which we returned and (you will find) we are indeed telling the truth.´",Wyo mao gbin za alkarya na yi dan nin yan'ubo na gan (u gayi Misrao) to kodagba nazhi yi zhi ganni be yin na. Hakika ma gaskiya yie tao.
Surah 12:83   ,              Jacob said: "Nay but ye have yourselves contrived a story (good enough) for you. So patience is most fitting (for me). Maybe Allah will bring them (back) all to me (in the end). For He is indeed full of knowledge and wisdom.",Ugan: ujin acin'a yangban ye zhi dea yandoci la'a panin fi ye (eyan dede) hakuri de uga gye ya mi gan'o mi mae ba be Sokoe gan wyun'u kua zhi'u beu yami baenio. Hakika Soko gayi Etsu kpikpeo ugayi Etsu hikimao.
Surah 12:84   ,        And he turned away from them and said: "How great is my grief for Joseph!" And his eyes became white with sorrow and he fell into silent melancholy.,Ucia zunma uce eba'abo uci gan: kasa mire eti Yusufuo! Eyeuzhi cia zhe bokun ebo yangban yin'o gancin uma'a she be fushii.
Surah 12:84   ,        And he turned away from them and said: "How great is my grief for Joseph!" And his eyes became white with sorrow and he fell into silent melancholy.,Ucia zunma uce eba'abo uci gan: kasa mire eti Yusufuo! Eyeuzhi cia zhe bokun ebo yangban yin'o gancin uma'a she be fushii.
Surah 12:85,           They said: "By Allah! (never) wilt thou cease to remember Joseph until thou reach the last extremity of illness or until thou die!",Agan: Wallahi wyo dea ya yekpa eti Yusufu boa har sai wyo ga'a tanyan yan iyaka etiubo ko ma wyo-olao feo dan mini eza tsutsuci zhio.
Surah 12:86  ,          He said: "I only complain of my distraction and anguish to Allah and I know from Allah that which ye know not...,Ugan: Hakika mi de ela lali mi be yangbannyin mi la wu Soko mi ma de kpikpe dagan eba Soko yan yanazhi yede kpikpea na.
Surah 12:87 ,                  "O my sons! go ye and enquire about Joseph and his brother and never give up hope of Allah´s Soothing Mercy: truly no one despairs of Allah´s Soothing Mercy except those who have no faith.",Ya ye egi mizhi! Elo-ye dae wa labari Yusufue be be yan yegiu yin ye mae ga ba kauna be yegun Sokoe ma. Hakika ma ade za nae ba kauna be yegun Sokoe na'a saide jama'a nazhi yi kafirizhi na.
Surah 12:88  ,                  Then when they came (back) into (Joseph´s) presence they said: "O exalted one! distress has seized us and our family: we have (now) brought but scanty capital: so pay us full measure (we pray thee) and treat it as charity to us: for Allah doth reward the charitable.",Lokaci na a gandan eba Yusufuo na agan: Ya wyoe Azizu egun yan madan wun'a de yi be iyali yizhi yima be-be be yanna yigaa sangwa yangici shi na nama gan daraja deana; ebo acin'o a tsunwan she yayi wyo mao jin sadakao yayi hakika Sokoe la egagba alheri ya zana gae jin sadakana.
Surah 12:89  ,       He said: "Know ye how ye dealt with Joseph and his brother not knowing (what ye were doing)",Ugan: Ngba yema kpe yan na ye jin be Yusufui to wyin'y to yegiu yin na kamina ye yeafe dan mini jahilizhio na.
Surah 12:90   ,                   They said: "Art thou indeed Joseph" He said "I am Joseph and this is my brother: Allah has indeed been gracious to us (all): behold he that is righteous and patient- never will Allah suffer the reward to be lost of those who do right.",Agan: "Kashi eti hakikao wyo ga yi Yusufuo" Ugan: Mi ga yi Yusufuo zanana ma yegi mi uyio; hakika Soko jin falala yayi hakika de zaeni ndondo naga sundan Soko na uma ci jin hakuri na to hakika Sokoe ta laada etun za guruzhi ya kpea.
Surah 12:91 ,       They said: "By Allah! indeed has Allah preferred thee above us and we certainly have been guilty of sin!",Agan: Wallahi hakika Sokoa wyo la ta eti yibo hakika ma yi yia fe dan mini bici cin cizhio.
Surah 12:92  ,        He said: "This day let no reproach be (cast) on you: Allah will forgive you and He is the Most Merciful of those who show mercy!,Ugan: Yin na-nnade lefi ndondo ke ta eti yeboa. Sokoafa be ye yin.Wyunga mayi Etsu yegun'o.
Surah 12:93 ,          "Go with this my shirt and cast it over the face of my father: he will come to see (clearly). Then come ye (here) to me together with all your family.",Yea ewomi nana la'a da'a yecie la wun'e ce zhi yegboro baba mi bo; uga'afe za nae le ba ye na. Ye mae be be iyali yezhi kpata baenio.
Surah 12:94,           When the caravan left (Egypt) their father said: "I do indeed scent the presence of Joseph: Nay think me not a dotard.",Kamina jama'a wunchinzhi ya Misra cie zhin na baba'a ci gan: Hakika de mie wo ekan Yusufu; kagan de yea gan gan zhizhi eku-kue kunmi mia na.
Surah 12:95,     They said: "By Allah! truly thou art in thine old wandering mind.",Agan: Wallahi hakika de to gbani wyo yi dan mini zhizhi wyobo na'ajin fo na.
Surah 12:96   ,                Then when the bearer of the good news came He cast (the shirt) over his face and he forthwith regained clear sight. He said: "Did I not say to you ´I know from Allah that which ye know not´",To lokaci na za na'a ya bushara yangban fa na be na wyun'a ewo ce keu fuskao ucia fe zanae leba ye na. Ugan: A sa mi gan yaye gan mi de kpikpe dagan eba Soko yan yannazhi yede kpikpea na'a yin'a.
Surah 12:97   ,    They said: "O our father! ask for us forgiveness for our sins for we were truly at fault.",Agan: Ya wyoe babayi! Wa gafara yayi yan lefi yizhi hakika yi yia fe dan mini bici cin cizhio.
Surah 12:98  ,      He said: "Soon will I ask my Lord for forgiveness for you: for he is indeed Oft-Forgiving Most Merciful."Ugan: Bele yin mia ba gafara ya ye be Tsoci mi yin. Hakika wyun gayi Etsu gafarao wyun ga mayi Etsu yegun'o
Surah 12:99  ,           Then when they entered the presence of Joseph he provided a home for his parents with himself and said: "Enter ye Egypt (all) in safety if it please Allah."Kamina agandan eba Yusufuo na wyun'a yanmanciuzhi gbadza uci gan: E gandan Misrao uga ba Soko ma ye a gangan dan eza amincizhi.
Surah 12:100 ,                                            And he raised his parents high on the throne (of dignity) and they fell down in prostration (all) before him. He said: "O my father! this is the fulfilment of my vision of old! Allah hath made it come true! He was indeed good to me when He took me out of prison and brought you (all here) out of the desert (even) after Satan had sown enmity between me and my brothers. Verily my Lord understandeth best the mysteries of all that He planneth to do for verily He is full of knowledge and wisdom.,Ucia yanmanciuzhi la'ata eti gado mulkio acia vokpa'azhi zhi kinbo fe saumi uci gan: Ya wyoe babami nana ga yi fasara ena na mi na shidzo nao. Hakika Tsoci mi wyun'u la'a fe gaskiya hakikama uijn bolobolo be mi yin kamina uwa mi tin ya katazhiko na uma ye kube dagan latio baci na shetan gandan tsakani mibo be ye gimizhi na. Hakika Tsocimi Etsu Tosayi uyio be zana ga baunae. Hakika wyin Etsu kpikpe uyio Etsu hikima uyio.
Surah 12:101   ,                 "O my Lord! Thou hast indeed bestowed on me some power and taught me something of the interpretation of dreams and events- O Thou Creator of the heavens and the earth! Thou art my Protector in this world and in the Hereafter. Take Thou my soul (at death) as one submitting to Thy will (as a Muslim) and unite me with the righteous.",Ya wyoe Tsoci mi! hakika wyo yami mulki wyoma wu mi (kpikpe ndoci) mini fasara enazhio. Ya wyo najin sanmazhi to kin na wyo gayi Ndakata mi to izhe to ekubo. Wyo ga'a wu mi O wu mi Musulumi wyo mao la mio keba be za guruzhi.
Surah 12:102 ,            Such is one of the stories of what happened unseen which We reveal by inspiration unto thee; nor wast thou (present) with them then when they concerted their plans together in the process of weaving their plots.,Wuncinzhi dan mini labari gaibuzhio na Yie jin wahayiu ya wyo na. Wyo ma dan tacin'abo kamina a ku alamariazhi yekan aci gunmi aci fe jin tanadizhi na'a.
Surah 12:103 ,    Yet no faith will the greater part of mankind have however ardently thou dost desire it.,Ekun dondo zawangizhi ma ajin imania ka da'a ma wyo gae bavun acin.
Surah 12:103     Yet no faith will the greater part of mankind have however ardently thou dost desire it.,Ekun dondo zawangizhi ma ajin imania ka da'a ma wyo gae bavun acin.
Surah 12:104 ,        And no reward dost thou ask of them for this: it is no less than a message for all creatures.,Wyo ma gbin'agan yandondo yan egagba eti etun na wyoe lo na boa. Uma jin yandoci (ALKURANU) yia sai de sinsantu ya alittazhi kpata.
Surah 12:105     ,     And how many Signs in the heavens and the earth do they pass by Yet they turn (their faces) away from them!,Amade aya dokun nazhie wugwa zankpe Soko na nazhi fi sanmazhio to kinbo na zawangizhi ajin afe da'a -- gan aciga pan keu lugwa.
Surah 12:106  ,    And most of them believe not in Allah without associating (other as partners) with Him!,Ekundondoa ma e jin imani be Sokoe baeni boa sai de aga eyan la'apau baci.
Surah 12:107    ,         Do they then feel secure from the coming against them of the covering veil of the wrath of Allah- or of the coming against them of the (final) Hour all of a sudden while they perceive not,Kashi gbani a aminci yaya gan azaba Soko nae rukpe na ubeu beu ya'a eti girikuo amaa laa fea dan kamina akpea na
Surah 12:108  ,              Say thou: "This is my way: I do invite unto Allah- on evidence clear as the seeing with one´s eyes- I and whoever follows me. Glory to Allah! and never will I join gods with Allah!",Gangan: Nana gayi ekpa mi yin'o mie yi zazhi yi lo eba Soko eti hujjao (be hankali) to mi to zana gaa gba mi na.
Surah 12:109,                            Nor did We send before thee (as messengers) any but men whom we did inspire- (men) living in human habitations. Do they not travel through the earth and see what was the end of those before them But the home of the hereafter is best for those who do right. Will ye not then understand,Yi ma tun Tucizhi tun shidzoa sai de bagizhi dagan mini eza alkaryazhio Yi ciejin wahayi be ya'a. Ki'i la acie za dan kinboa yin'o da ayea leye kendoe zoba zanazhi shidzo na yi yi na'a Hakika ma emi yan eku ude alheri gan ya za nazhi gae sundan Soko cie tswa u na. Kashi ye de hankali dea.
Surah 12:110   ,               (Respite will be granted) until when the messengers give up hope (of their people) and (come to) think that they were treated as liars there reaches them Our help and those whom We will are delivered into safety. But never will be warded off our punishment from those who are in sin.,Harda kamina Tucizhi ga kauna ba (be imani jin yan jama'a yan'azhi na) acia hakika ya ke de a ayi ganmana zunci zhi na kanga ga taimako Yi e be ya'ao. Gancin Yicie la gwagan ya zana ga ba yi na zandondo mada azaba Yi gwa wo ta eti lefi jincizhi boa.
Surah 12:111     ,                 There is in their stories instruction for men endued with understanding. It is not a tale invented but a confirmation of what went before it- a detailed exposition of all things and a guide and a mercy to any such as believe.,Hakika wa'azi (sinsantu) dan mini etan'azhio ya zanazhi gade hankali na. (Alkur'anu) ma jin egan naa ye tswa na'a ama'ade egan'uyio nae la gaskiya ya dan Litafi nazhi shiudzo na uma yi bayani yan yandondo umayi bawu be yegun'y ya jama'a nazhi gaejin imani na
