Surah 20:1, Ta-Ha.,TWA HA
Surah 20:116,        When We said to the angels "Prostrate yourselves to Adam" they prostrated themselves but not Iblis: he refused.,Wyo mao pa kamina Yi gan be malaika zhi gan: "Ejin sujada ya Adamu kpata cia sujada jin saide Iblisu wun cia navo.
Surah 20:117  ,         Then We said: "O Adam! verily this is an enemy to thee and thy wife: so let him not get you both out of the Garden so that thou art landed in misery.,Gancin Yici gan: "To wyo Adamu! Hakika (shetan) nana makiri wyoe uyio to ya yinmi wyoe ebo acin'o ega lugwa ukue dzun tinya dagan mini Aljannao ma kacan'a ega'ajin wahala.
Surah 20:118  ,    "There is therein (enough provision) for thee not to go hungry nor to go naked,Hakika wyoa gun madan dan mini'uboa wyo ma'a za ya-vun'a.
Surah 20:119  ,   "Nor to suffer from thirst nor from the sun´s heat.",Nuwan ma'a wo wyoe dan miniu boa wyo ma'a wo banagun boa.
Surah 20:120    ,        But Satan whispered evil to him: he said "O Adam! shall I lead thee to the Tree of Eternity and to a kingdom that never decays",Shetan cia swo lo'u yangban'o be wasiwaasi uci gan: Ya wyoe Adamu! Kashi min-wu-wyo ba lo eba cigban sun-sun yan danbodan be yan mulki na'a zoa na
Surah 20:121   ,           In the result they both ate of the tree and so their nakedness appeared to them: they began to sew together for their covering leaves from the Garden: thus did Adam disobey his Lord and allow himself to be seduced.,Zagubaa ba'a cia gi dagan mini cigban wuncin'o yavun'azhi cia tula zhizhi yaa acife la fini yan Aljanna zhi kan yi taazhi. Adama ma cia le Tsociu ba ucia jin wahala.
Surah 20:122  ,   But his Lord chose him (for His Grace): He turned to him and gave him Guidance.Gancin Tsoci u ci beu li Uci fa beuyin U ci'u wuba.
Surah 20:123     ,            He said: "Get ye down both of you- all together from the Garden with enmity one to another: but if as is sure there comes to you Guidance from Me whosoever follows My Guidance will not lose his way nor fall into misery.,Ugan: "E cin dagan miniubo za gubaa bae sashiezhi afe na sashi vo. Ujin wo ma bawu ndoci wun'a fe be yaye dagan eba Mibo to zana ga mitu bawu Mi na to hakika wyun'a gbin'a uma'ajin wahala'a.
Surah 20:124     ,      "But whosoever turns away from My Message verily for him is a life narrowed down and We shall raise him up blind on the Day of Judgment.",Zae ni ndondo nama ga zunma zheta pipa Mina hakika wyun'a le izhe pinpinci Yima san'usan Efo Alkiyami'i yebonci.
Surah 20:125    ,   He will say: "O my Lord! why hast Thou raised me up blind while I had sight (before)"Ugan: "Tsoci! Kijin wyocia mi san yebonci yin'nao alaalima mia fe zana'e lebaye nao
Surah 20:126   ,    (Allah) will say: "Thus didst Thou when Our Signs came unto thee disregard them: so wilt thou this day be disregarded.",Ugan: "Acinga ga aya Yizhi fe be ya wyoe (izhe bo) wyo ci'a batan'o acinga ga aaba wyotso tan yin-nao.
Surah 20:127     ,      And thus do We recompense him who transgresses beyond bounds and believes not in the Signs of his Lord: and the Penalty of the Hereafter is far more grievous and more enduring.,Acinga gama Yie la egagba ya zandondo naga rayuwau nyin-ya umajin imani be aya Tsoci u zhi yin'a nao. Azaba yan Alkiyami ma tan gan uma'a danbo gan.
Surah 20:128  ,              Is it not a warning to such men (to call to mind) how many generations before them We destroyed in whose haunts they (now) move Verily in this are Signs for men endued with understanding.,Kashi to gbani ula'a latu ya aa kede Yijin alummazhi dokun nazhi fe dazan fi ezhia zhiona hallaka na'a Hakika mini wuncin'o ayazhi danbo ya zanazhi gayi eza hankali zhi na.
Surah 20:129 ,       Had it not been for a Word that went forth before from thy Lord (their punishment) must necessarily have come; but there is a Term appointed (for respite).Kagan'ujin ebo egan ndoci na'ashidzo dan eba Tsoci wyo boani naa be iyaaka na yi bibaci na'a daa ugaazhe ti'ile na Yiga'ajin azaba'a ni na.
Surah 20:130  ,                 Therefore be patient with what they say and celebrate (constantly) the praises of thy Lord before the rising of the sun and before its setting; yea celebrate them for part of the hours of the night and at the sides of the day: that thou mayest have (spiritual) joy.,Ebo acin'o a hakuri jin be iri egan nazhi agae gan na wyo mao feo li Tsoci wyoe be jin jin yeboe yau kafi igidi'u la'u tin'uya na be shidzo kafi igidi'u lo mina to mini yeshio to kansan yan igidio u jin wo Sokoa ga wo be yanna wyoa jin yeda be yin-nae.
Surah 20:131 ,                Nor strain thine eyes in longing for the things We have given for enjoyment to parties of them the splendour of the life of this world through which We test them: but the provision of thy Lord is better and more enduring.,Wyo mao ga la eye wyo zhi fe cin yannazhi Yi la ya'a yan eman-wo izhe le na ma ninpa uyio yan izhe kawanyin ebo Yii man'aa cin'y-le dan miniubo. Arziki yan Tsoci wyo ma wun gade alheri gan'o wunga mayi yan danbo dan'o.
Surah 20:132  ,         Enjoin prayer on thy people and be constant therein. We ask thee not to provide sustenance: We provide it for thee. But the (fruit of) the Hereafter is for righteousness.,Wyo mao jin iyaliozhi foro be sallah jin-y wyo mao la hakurio jin eti wuncin'o Ujin arziki (ku ye kan) Yigaa gbin wyoe esun'a hakika Yi ga'a ya wyoe arzikio. Zoba wangi ma ga'ajin tabbata ya zana gae sundan Soko na.
Surah 20:133   ,         They say: "Why does he not bring us a sign from his Lord" Has not a Clear Sign come to them of all that was in the former Books of revelation ,Acigan: "Ki'ijin uci la aya ndoci be yayi dagan eba Tsoci'u boa yin'o Ngba bayani nazhi fi Litafi mafari zhiona ube ya aa
Surah 20:134   ,               And if We had inflicted on them a penalty before this they would have said: "Our Lord! If only Thou hadst sent us a messenger we should certainly have followed Thy Signs before we were humbled and put to shame.",Da'aci gan Yi jin'a hallaka jin shidzo be dzo daa a gangan: "Tsoci yi ki la wyoci tun Tuci fi yi yi'a yan'o ngan da yi ga mi tu'u shidzo kaafi yi le egba be zunyesun-y-ye na.
Surah 20:135  ,        Say: "Each one (of us) is waiting: wait ye therefore and soon shall ye know who it is that is on the straight and even way and who it is that has received Guidance.,"Gan ya'a gan: "Kpaata-y yifi tu yan na Sokoa jin na-y-ye efe tuye bele yin ye tsoa kpe zi'i ta eti eko gboro gan'o zi'izhi ma kpe eko bawu bo.
