Surah 3:1, A. L. M., Alif lam meem.
Surah 3:73 ,                             "And believe no one unless he follows your religion." Say: "True guidance is the Guidance of Allah: (Fear ye) Lest a revelation be sent to someone (else) Like unto that which was sent unto you or that those (Receiving such revelation) should engage you in argument before your Lord" Say: "All bounties are in the hand of Allah: He granteth them to whom He pleaseth: And Allah careth for all and He knoweth all things.",Ye maega ya gaskiya ma be za na 'mi tu adini ye na. gan gan: Akika yan bawu ugayi bawu Soko. (ye gan wuncin gan)ebo abe gangan ala'yan-ya zandocizhi iri natso ala yaye nama koma ebo abe din hujja beyeyin yegboro Soko ma Gan gan: Akika falala (kpata) egwa Soko bo'o dan'o Wyun'e lau'ya za na ga ba Una. Soko ma Etsu bagwo uyio Etsu ilimi uyio.
Surah 3:74 ,      For His Mercy He specially chooseth whom He pleaseth; for Allah is the Lord of bounties unbounded.,Wyun'e tsa za na ga ba'Una be yegun'Uyin Soko ma Etsu yan falala uyio na wancin na.
Surah 3:75,                                   Among the People of the Book are some who if entrusted with a hoard of gold will (readily) pay it back; others who if entrusted with a single silver coin will not repay it unless thou constantly stoodest demanding because they say "there is no call on us (to keep faith) with these ignorant (Pagans)." but they tell a lie against Allah and (well) they know it.,Amade dan mini zaba Litafizhio za na wyo ga amana "kindari" (lisafi ewo) uyio na gbagba'a na) la'a yau'o laa yao na. Amade dan miniabo na wyo ga amana yan dinari (ewo de'gi) la'a yan na wyun'a la yan'o ya wyoa na sai de wyo ga'kugikini beu yin kando kando na. Wuncin mayi ebo na a gan:Le'fi ta eti yi bo yan yandondo nazhi jin Yahuduana)Acie gan gan yan ganmana ta Soko atso ma kpe (ke ganmana aye zun'o na.
Surah 3:76,        Nay.- Those that keep their plighted faith and act aright-verily Allah loves those who act aright.,Acin gao zandondo na ga alkawaliu she na uci sundan Soko na akika Sokoe wa za nazhi gae sundan'una na.
Surah 3:77,                          As for those who sell the faith they owe to Allah and their own plighted word for a small price they shall have no portion in the Hereafter: Nor will Allah (Deign to) speak to them or look at them on the Day of Judgment nor will He cleans them (of sin): They shall have a grievous penalty.Akika za nazhi-eda shi eyan tetengi izhe be alkawali Sokoe na gan-gani be kutizhia zhi -na zawuncinzhi ade robo ndondo ya'a ekuboa Soko ma'a gangan bea yin'a U ma' cin'ale (be eye yegun'y) efo Alkiyami yin'a uma'a li'a' Azaba na ma tan na ga ji tabbata ya'a.
Surah 3:78,                           There is among them a section who distort the Book with their tongues: (As they read) you would think it is a part of the Book but it is no part of the Book; and they say "That is from Allah" but it is not from Allah: It is they who tell a lie against Allah and (well) they know it,Akika amade jama'a ndocizhi dan miniabo ajin afe zhe gintara gba dan bayani Litafio ebo de ye'fe kpaye ke de (bayani yan etun yangban wuncin)dagan Litafi ga bo u fe beo na alali ma ujin dagan Litafi ga boa. Ama'fe gan gan: (Egan) wuncin dagan eba Soko bo u fe beo alali ma ujin eba Soko bo ufe beo. Acie zun ganmana ta Soko atso ma kpe.
Surah 3:79 ,                          It is not (possible) that a man to whom is given the Book and Wisdom and the prophetic office should say to people: "Be ye my worshippers rather than Allah´s": on the contrary (He would say) "Be ye worshippers of Him Who is truly the Cherisher of all: For ye have taught the Book and ye have studied it earnestly.",Ugwo-yin ya zawangia ebo na Soko'a litafi to hukunci to Annabci la'a yau na gancin uciu feu gan'u ya zawangizhi gan: "Yeazhe wuzhizhi ya mi ke Soko lugwa'a Amma na gwoyin wyun'a gan nagayi yea fe eza bawta Soko zhi be iri ilimi nazhi ye de fi litafio na to kaatun nazhi ye'jin na.
Surah 3:80,            Nor would he instruct you to take angels and prophets for Lords and patrons. What! would he bid you to unbelief after ye have bowed your will (To Allah in Islam),Uma jin ye umurni gan ye dae la malaikazhi to Annabizhi ela Tsoci zhia. Kashi wyun'a jin ye umurni jin gan ye'laejin kafirinci baci na ye yeazhe musulumizhia ni na.
Surah 3:81,                                Behold! Allah took the covenant of the prophets saying: "I give you a Book and Wisdom; then comes to you a messenger confirming what is with you; do ye believe in him and render him help." Allah said: "Do ye agree and take this my Covenant as binding on you" They said: "We agree." He said: "Then bear witness and I am with you among the witnesses."(Wyo mao pa) Kamina Soko la alkawali be Annabizhi na (uci gan:) Mima litafi la'ayaye be hikimae gancin Tuci ci be yaye wyun'e ya gaskiya be yan na dan be ye yin na. Akika ye ga gaskiya ya beuyin ye ma'a jin'u taimako U gan: Ngba yeye'u gboka Yema ga gwa sun alkawali Mi ya ye eti wuncin'o Aci gan: Yi yi'u gboka. Ugan: To ye tsoe jin ri Mima dan be yeyin eti eri jin'o.
Surah 3:82,      If any turn back after this they are perverted transgressors,Zana zhi-ma ga zuma zheta baci wuncin'o na za wuncinzhi ga yi fasikizhio.
Surah 3:83,             Do they seek for other than the Religion of Allah-while all creatures in the heavens and on earth have willing or unwilling bowed to His Will (Accepted Islam) and to Him shall they all be brought back,Kashi adini ndoci ke yan Soko lugwa gae wa zao Alali ma zandondo na fi samazhio to kinbo na Soko gaata kpatsun yao eti banbao to eti kpakao E ba U gabo ma aku zawangizhi zheban lo'.
Surah 3:84,                            Say: "We believe in Allah and in what has been revealed to us and what was revealed to Abraham Isma´il Isaac Jacob and the Tribes and in (the Books) given to Moses Jesus and the prophets from their Lord: We make no distinction between one and another among them and to Allah do we bow our will (in Islam).",Gan gan: Yi yia imani jin be Sokoe be yan na a cin be ya yina be yana acin be ya Ibrahimae na to Ismaila to Ishaqa to Yakuba to Yagizhi na. To yan na a la ya Musa na to Isa to Annabawazhi dagan eba Tsociabo na. Yi ma la erikpe ndondo dan tsakaniaboa Yi ma'afe za nazhia kpatsun ta ya Soko na.
Surah 3:85,            If anyone desires a religion other than Islam (submission to Allah) never will it be accepted of him; and in the Hereafter He will be in the ranks of those who have lost (All spiritual good),Zandondo na ma gada wa ndoci yan Musulunci cigan adini na to a gwo gwa'uboa za wuncin ma ga'afe Efo Alkiyamio dan mini zanazhia jin asara nao.
Surah 3:86,                 How shall Allah Guide those who reject Faith after they accepted it and bore witness that the Messenger was true and that Clear Signs had come unto them but Allah guides not a people unjust,Ke wun'a zhe zhe na Soko ga bawu la'aya jama'a nazhi ajin kafirinci be sokoe baci na a imani jin be Sokoe nao. A tso ma eri jin ke Tuci (Soko) gaskiya uyio nao hujjazhi ma da be ya'a. Soko mae la jam'a yan Azwalumizhi kr ekoa.
Surah 3:87,        Of such the reward is that on them (rests) the curse of Allah of His angels and of all mankind,Zawuncinzhi egagba'a ugayi akika la'ana yan Soko ta etiabo to yan Malaikazhi to yan zawangizhi bae nio.
Surah 3:88,        In that will they dwell; nor will their penalty be lightened nor respite be (their lot);,Ama'fi bo fi tutun yin a'jin sauki azaba ya'a a ma pata ya'a.
Surah 3:89,          Except for those that repent (Even) after that and make amends; for verily Allah is Oft-Forgiving Most Merciful,Sai de za na zhi ga tuba jin zuma wuncin'o na acia gyara jin na to akika Soko Etsu gafara uyio Etsu yegun uyio.
Surah 3:89 ,         Except for those that repent (Even) after that and make amends; for verily Allah is Oft-Forgiving Most Merciful,Sai de za na zhi ga tuba jin zuma wuncin'o na acia gyara jin na to akika Soko Etsu gafara uyio Etsu yegun uyio.
Surah 3:90 ,            But those who reject Faith after they accepted it and then go on adding to their defiance of Faith- never will their repentance be accepted; for they are those who have (of set purpose) gone astray,Akika za nazhia jin kafirinci baci yan imania bo na gancin acie be be eti kafirincio na a'gwo tuba'a za wuncinzhima aga yi eza egbinzhio.
Surah 3:91,                       As to those who reject Faith and die rejecting- never would be accepted from any such as much gold as the earth contains though they should offer it for ransom. For such is (in store) a penalty grievous and they will find no helpers,Akika za nazhia jin kafirinci na har acia tsu alalima kafirizhi ayio na a'gwo ewo zinari naashe izhe na dagan egwa zaeni ndondo miniabo ka aga ga ewo wuncin la'asa etia a'gwo egwa'a boa. Zawuncizhima azaba na tan na ga'ajin tabbata ya'a ama'de za nazhia jin'a taimako na'a.
Surah 3:92 ,             By no means shall ye attain righteousness unless ye give (freely) of that which ye love; and whatever ye give of a truth Allah knoweth it well,Ye gade daraja yan bolobolo jin'a sai ye ga wu dukiyaye (dan eko Soko) mini yan nazhi yetso gae wa na yandondo na ma ye ga wu na akika Soko yi be kpikpe'u yin.
Surah 3:93,                       All food was lawful to the Children of Israel except what Israel Made unlawful for itself before the Law (of Moses) was revealed. Say: "Bring ye the Law and study it if ye be men of truth.",Yangici kpata halali ayio ya Banu Israilazhio sai de na Israiluzhi ga'a la jin haramu ya eti tacin'a shidzo bedzo kafi acin Ataura be na Gan-gan: " Ela Attaura beyn ye mae gbau wun'a yi za gaskiyazhi ye yio na.
Surah 3:94,          If any after this invent a lie and attribute it to Allah they are indeed unjust wrong-doers,Zandondo na gae tswa ganmana ta Soko na baci wuncin'o na to zawuncinzhi ga yi azwalumizhio.
Surah 3:95,          Say: "Allah speaketh the Truth: follow the religion of Abraham the sane in faith; he was not of the Pagans.",Gan gan: Soko'a gaskiya ta gancin ye mae la mie tu ekpa yan Ibrahima na'pan ke ganmana lugwa na uma fe dan mini za nazhie la yandoci pa Soko baci na'a.       
 Surah 3:97  ,                      In it are Signs Manifest; (for example) the Station of Abraham; whoever enters it attains security; Pilgrimage thereto is a duty men owe to Allah- those who can afford the journey; but if any deny faith Allah stands not in need of any of His creatures,Mini ubo ayazhi danbo nazhia tula na (ke) kinigiba yan Ibrahima na. Zandondo na ga'gandan bona uga'de aminci. Hajji ma danbo yan kata Soko ta eti zawangizhio na'ajin ebo Soko'na ya za na ga de kagbo na uga lo bo na. Za nama ga bea jin kafirinci (ci lo'a na) to akika Soko'a kunke ke alittazhi kpata lugwa.
Surah 3:98 ,          Say: "O People of the Book! Why reject ye the Signs of Allah when Allah is Himself witness to all ye do",Gan gan: Ya ye zaba litafizhi! Ki'la ye cie jin kafirinci be aya Soko yin'o Soko ma Eriko uyio ta eti etun nazhi ye ye lo na bo.
Surah 3:99 ,                 Say: "O ye People of the Book! Why obstruct ye those who believe from the path of Allah Seeking to make it crooked while ye were yourselves witnesses (to Allah´s Covenant) but Allah is not unmindful of all that ye do.",Gan gan : "Ya ye zaba litafizhi! Ki'la ye cie kan zanazhia imani jin na eko Soko yn dao ye cie wa gan ye'la eko Sokoe lae zhe kinkanci yetso ma erizhi ye yio tati wuncin bo Soko ma yaye ke etun nazhi ye'lo na lugwa'a.
Surah 3:100 ,            O ye who believe! If ye listen to a faction among the People of the Book they would (indeed) render you apostates after ye have believed!,Ya ye nazhia imani jin na! Ye ga emitu kansan ndocizhi mini yan za na nazhi ala litafi ya na aga ye la'azhe kafirizhi baci yan imani ye bo.
Surah 3:101,                And how would ye deny Faith while unto you are rehearsed the Signs of Allah and among you Lives the Messenger Whoever holds firmly to Allah will be shown a way that is straight.Ke ma wun'a yi yi yeci ga'ajin kafirinci nao alali ma e'gba aya yan Sokozhi ya ye Tuciu madan tacin'yebo. Za na ga wa tswitswa cia egwa fin be Sokoe na akika a zawunci wuba lo eko gboro'.
Surah 3:102,           O ye who believe! Fear Allah as He should be feared and die not except in a state of Islam.Ya ye nazhia imani jin na! E sundan Soko be gaskiyae kendoe ugwo Soko yin na. Yemae ga lugwa ajali be la ye ma sai eti kpatsun ta wangi ya foro Soko.
Surah 3:102,           O ye who believe! Fear Allah as He should be feared and die not except in a state of Islam,Ya ye nazhia imani jin na! E sundan Soko be gaskiyae kendoe ugwo Soko yin na. Yemae ga lugwa ajali be la ye ma sai eti kpatsun ta wangi ya foro Soko.
Surah 3:103 ,                               And hold fast all together by the rope which Allah (stretches out for you) and be not divided among yourselves; and remember with gratitude Allah´s favour on you; for ye were enemies and He joined your hearts in love so that by His Grace ye became brethren; and ye were on the brink of the pit of Fire and He saved you from it. Thus doth Allah make His Signs clear to you: That ye may be guided,Ye mae la 'gwae sun egban yan Soko gbanyin baenio yemae ga kpe kpere kpere' ma. Yemae fe'pa mana-mana yan Soko na ta eti yebo na yan kamina ye yea fe makiri dozhi le Soko cia cin cin la'adan yangban yezhio gancin yecia tinba yeazhe yegidozhi be ni'ima Sokoena. Ye ma'afe kpe misun gi yan gushe enao Soko cia ye wadzun dagan miniubo. Acinga ga Sokoe jin bayani yan aya uzhi yaye yeo  ujin wo be wuncin'y ye ga de bawu.
Surah 3:104 ,            Let there arise out of you a band of people inviting to all that is good enjoining what is right and forbidding what is wrong: They are the ones to attain felicity,Jama'a ndoci mini yebo alaa kuagikinia fea yi zawangizhia lo etun alheri a fe jin zazhi umurni be etun wangizhi ama'a fea kangwa yan etun dedezhi. Za wuncinzhi ma agayi eza robo zhio.
Surah 3:104 ,            Let there arise out of you a band of people inviting to all that is good enjoining what is right and forbidding what is wrong: They are the ones to attain felicity,Jama'a ndoci mini yebo alaa kuagikinia fea yi zawangizhia lo etun alheri a fe jin zazhi umurni be etun wangizhi ama'a fea kangwa yan etun dedezhi. Za wuncinzhi ma agayi eza robo zhio.
Surah 3:105,             Be not like those who are divided amongst themselves and fall into disputations after receiving Clear Signs: For them is a dreadful penalty,Ye mae ga'a fe ke zanazhia kpe kpere kpere'na ma baci na bayanizhi da be ya'a ni na. za wuncinzhi ma azaba na wancin na wun'ajin tabbata ya'a.
Surah 3:106 ,               On the Day when some faces will be (lit up with) white and some faces will be (in the gloom of) black: To those whose faces will be black (will be said): "Did ye reject Faith after accepting it Taste then the penalty for rejecting Faith.",E fo'na fuska zandocizhi gaafu bokun be haske na fuska yan zandocizhi maga'shi zhiko za nazhi-ma fuska'azhi gaashi zhiko na (a gbin'agan gan:) Beke ye yea jin kafirinci jin baci yan imani yebo na Ebo acin'o e fe fin azaba ebo yannazhi ye'jin yan kafirinci na.
Surah 3:107,         But those whose faces will be (lit with) white- they will be in (the light of) Allah´s mercy therein to dwell ,Amma'a za nazhi fuskazhi a fu bokun be haske'na za wuncinzhi gaafe fi mini yegun Soko ama'fi bo fi tutun yin.
Surah 3:108 ,         These are the Signs of Allah: We rehearse them to thee in Truth: And Allah means no injustice to any of His creatures,Wuncinzhiaya Soko Zhi ayio yi'e gb'agba ya wyoe be gaskiyae Soko mae kpa zwalunci be alittazhi yin'a.
Surah 3:109,          To Allah belongs all that is in the heavens and on earth: To Him do all questions go back (for decision),Soko gama wun yannazhi fi samazhio nao to nazhi fi kinbo nao eba Soko ga ma alamari kpata' azheban lo'.
Surah 3:110  ,                    Ye are the best of peoples evolved for mankind enjoining what is right forbidding what is wrong and believing in Allah. If only the People of the Book had faith it were best for them: among them are some who have faith but most of them are perverted transgressors,Ye yea fe al'umma na de alheri gan na ala tinya ya zawangizhina ye'jin zazhi umurni be luilo etun wangi' ye mae kan etun na gyea na ye mae jin imani be Sokoe. Da'aci gan zaba litafizhi'a imani jin jin da wuncin'afe alheri ya'gan. Miniabo ade Muminizhi ekun don do'a ma fasikizhi ayio.
Surah 3:111,          They will do you no harm barring a trifling annoyance; if they come out to fight you they will show you their backs and no help shall they get,Ajin ye gun woa sai de yan yangban yin. Ama ga'gun ye kun aga zuma'zhi zheta ye gancin ma ade zando jin'a taimakoa.
Surah 3:111 ,         They will do you no harm barring a trifling annoyance; if they come out to fight you they will show you their backs and no help shall they get,Ajin ye gun woa sai de yan yangban yin. Ama ga'gun ye kun aga zuma'zhi zheta ye gancin ma ade zando jin'a taimakoa.
Surah 3:112 ,                                 Shame is pitched over them (Like a tent) wherever they are found except when under a covenant (of protection) from Allah and from men; they draw on themselves wrath from Allah and pitched over them is (the tent of) destitution. This because they rejected the Signs of Allah and slew the prophets in defiance of right; this because they rebelled and transgressed beyond bounds,A egba be zunye sun'y wu kpea etio bandondo na aga tsoa gwa na sai de be alkawali na gboka na dagan eba Soko be alkawali dagan eba zawangizhio. Ama zheban be 'wunzhe dagan eba Soko acia ya ji wu ba'a etio. Wuncin ma yi akika ebo na afe zanazhie jin kafirinci be aya Soko zhi'ina ama fe'wu Annabi (Soko) zhi umayi be haki ndondo yin'a. Wuncin mayi ebo Soko naa le ba na ama'afe za nazhi e gbin iyaka tu na.
Surah 3:113,             Not all of them are alike: Of the People of the Book are a portion that stand (For the right): They rehearse the Signs of Allah all night long and they prostrate themselves in adoration,Ajin ye'nia dagan mini zaba litafizhioade jama'a nazhia kugikini wangi-na e'gba aya Soko zhi dan mini lokaci yan yeshio ama fe za nazhie dokun be sujada jin'y na.
Surah 3:114 ,             They believe in Allah and the Last Day; they enjoin what is right and forbid what is wrong; and they hasten (in emulation) in (all) good works: They are in the ranks of the righteous,E'la imani jin be Sokoe to be Efo zobae a mae jin zazhi foro be etun wangizhiamae kangwa yan etun dedezhiamae dinye dan luilo yan etun alherizhio. Zawuncinzhi ma a fe dan mini za guruzhio.
Surah 3:115,        Of the good that they do nothing will be rejected of them; for Allah knoweth well those that do right,Etun ndondo na ma aga lo yan alheri na a la egagba'u a kan'a'a Soko ma yi be kpikpe yan za nazhie sundan soko na.
Surah 3:116,                 Those who reject Faith- neither their possessions nor their (numerous) progeny will avail them aught against Allah: They will be companions of the Fire-dwelling therein (for ever),Akika za nzhia jin kafirinci na dukiya'azhi to egiazhi a kunke ya'a wo be yandondoe dagan eba Sokooa. Zawuncinzhi ma a gayi egi mi'na zhio.
Surah 3:117 ,                     What they spend in the life of this (material) world May be likened to a wind which brings a nipping frost: It strikes and destroys the harvest of men who have wronged their own souls: it is not Allah that hath wronged them but they wrong themselves,Kotonci yan dukiya nae wu dan mini edunfe izhe nanao na u yi ke kotonci efe na yeko fu dan nin yan'ubo na uci da tswan yandzo yan jama'a ndoci nazhia etitancin'a jin zwalunci na uci'ujin hallaka Soko ma jin'a zwaluncia amma'ade eti tacin'a tso gae jin zwaluncio.
Surah 3:118 ,                            O ye who believe! Take not into your intimacy those outside your ranks: They will not fail to corrupt you. They only desire your ruin: Rank hatred has already appeared from their mouths: What their hearts conceal is far worse. We have made plain to you the Signs if ye have wisdom.Ya ye nazhia imani jin na! Ega da da eya yan asiri be zandocizhi na jin zaba imania na ma a cinta ya ye be egun jin yin'a. Amae jin guri yan eyan dede na'atswan ye na' Akika nanvo wun'atula tinya dagan misu'azhio yan nazhi make swo fi yangban'azhio na ugbota gan. Akika yi yia ayazhi jin bayani ya ye yeani ye ga'fe eza ankalizhi na
Surah 3:118 ,                            O ye who believe! Take not into your intimacy those outside your ranks: They will not fail to corrupt you. They only desire your ruin: Rank hatred has already appeared from their mouths: What their hearts conceal is far worse. We have made plain to you the Signs if ye have wisdom,Ya ye nazhia imani jin na! Ega da da eya yan asiri be zandocizhi na jin zaba imania na ma a cinta ya ye be egun jin yin'a. Amae jin guri yan eyan dede na'atswan ye na' Akika nanvo wun'atula tinya dagan misu'azhio yan nazhi make swo fi yangban'azhio na ugbota gan. Akika yi yia ayazhi jin bayani ya ye yeani ye ga'fe eza ankalizhi na
Surah 3:119 ,                         Ah! ye are those who love them but they love you not- though ye believe in the whole of the Book. When they meet you they say "We believe": But when they are alone they bite off the very tips of their fingers at you in their rage. Say: "Perish in you rage; Allah knoweth well all the secrets of the heart.",Ye'ga dan nao Ye ye' wa'a a mae wa ye yea. Ye ma gan yea imani jin be litafiy bae nio. Kamina ma aga gun be ye yin na agan: "Yi yia imani jin" Uma gabea ke atso gba'agi a fe'ko gwa ikan eti ye bo ebo takaicio. Gan gan: Ye'a tsu be takaicie yin. Akika Soko Etsu kpikpe uyio be iri yannazhi fi yangbanzhio na.
Surah 3:120 ,                   If aught that is good befalls you it grieves them; but if some misfortune overtakes you they rejoice at it. But if ye are constant and do right not the least harm will their cunning do to you; for Allah Compasseth round about all that they do,Kamina alheri ndoci ga'ade ye na wun'ela yangban'azhia yin egun ndoci ma ga'a tswanye ajin afe fa yangban be wunci'y. Ye ma ga guri jin ye cie sundan Soko tanadi ndondoa la egun tswan ye yea. Akika Soko a makezhe be iri etun nazhi e'lo na. 
Surah 3:121,          Remember that morning Thou didst leave Thy household (early) to post the faithful at their stations for battle: And Allah heareth and knoweth all things,(Wyo mao pa) Na wyo saka tinya dagan eba iyali wyozhio na wyo cie la Muminizhi shishi dan dannazhio ebo ekun'o na Soko ma Etsu nae wo yandondo na uyio Etsu kpikpe uyio. 
Surah 3:122,           Remember two of your parties Meditated cowardice; but Allah was their protector and in Allah should the faithful (Ever) put their trust,(Wyo mao pa ) Kamina jama'a yan ena guba mini ye bo akpa gan a ga to gbogun na (aga zuma ya ) Soko ga mayi Ndakata zaguba'abao ebo acin'o Muminizhi de a la'a kpea tswo soko. 
Surah 3:123 ,        Allah had helped you at Badr when ye were a contemptible little force; then fear Allah; thus May ye show your gratitude.,Akika ma Soko jin ye taimako dan ekun yan Badaruo kanga a ye yi gbogun ebo acin'o e sundan Soko ujin wo be wuncin'y ye ga'fe za nazhie jin ye bo ya Soko na. 
Surah 3:124 ,           Remember thou saidst to the Faithful: "Is it not enough for you that Allah should help you with three thousand angels (Specially) sent downKamina wyo fe gan gan be Muminizhi na Asha U kunye kea na Tsoci ye ajin ye taimako be malaikazhi kputsun'utsun eda guta nazhia fe cinbe dagan samao naa 
